mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1,ford fairmont (man)
20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1,plymouth volare
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1,amc concord
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1,buick century special
20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1,mercury zephyr
18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1,dodge aspen
18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1,amc concord d/l
19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1,chevrolet monte carlo landau
17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1,buick regal sport coupe (turbo)
18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1,ford futura
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1,dodge magnum xe
30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1,chevrolet chevette
27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3,toyota corona
27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3,datsun 510
30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1,dodge omni
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3,toyota celica gt liftback
23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1,plymouth sapporo
23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1,oldsmobile starfire sx
23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3,datsun 200-sx
20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2,audi 5000
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2,volvo 264gl
21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2,saab 99gle
16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2,peugeot 604sl
31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2,volkswagen scirocco
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3,honda accord lx
21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1,pontiac lemans v6
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1,mercury zephyr 6
22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1,ford fairmont 4
20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1,amc concord dl 6
20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1,dodge aspen 6
17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1,chevrolet caprice classic
17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1,ford ltd landau
16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1,mercury grand marquis
18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1,dodge st. regis
16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1,buick estate wagon (sw)
15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1,ford country squire (sw)
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1,chevrolet malibu classic (sw)
18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1,chrysler lebaron town @ country (sw)
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2,vw rabbit custom
34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3,maxda glc deluxe
35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1,dodge colt hatchback custom
27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1,amc spirit dl
25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2,mercedes benz 300d
23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1,cadillac eldorado
27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2,peugeot 504
23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1,oldsmobile cutlass salon brougham
34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1,plymouth horizon
34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1,plymouth horizon tc3
31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3,datsun 210
37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2,fiat strada custom
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1,buick skylark limited
28.8,6.0,173.0,115.0,2595.0,11.3,79.0,1,chevrolet citation
26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1,oldsmobile omega brougham
33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1,pontiac phoenix
41.5,4.0,98.0,76.0,2144.0,14.7,80.0,2,vw rabbit
38.1,4.0,89.0,60.0,1968.0,18.8,80.0,3,toyota corolla tercel
32.1,4.0,98.0,70.0,2120.0,15.5,80.0,1,chevrolet chevette
37.2,4.0,86.0,65.0,2019.0,16.4,80.0,3,datsun 310
28.0,4.0,151.0,90.0,2678.0,16.5,80.0,1,chevrolet citation
26.4,4.0,140.0,88.0,2870.0,18.1,80.0,1,ford fairmont
24.3,4.0,151.0,90.0,3003.0,20.1,80.0,1,amc concord
19.1,6.0,225.0,90.0,3381.0,18.7,80.0,1,dodge aspen
34.3,4.0,97.0,78.0,2188.0,15.8,80.0,2,audi 4000
29.8,4.0,134.0,90.0,2711.0,15.5,80.0,3,toyota corona liftback
31.3,4.0,120.0,75.0,2542.0,17.5,80.0,3,mazda 626
37.0,4.0,119.0,92.0,2434.0,15.0,80.0,3,datsun 510 hatchback
32.2,4.0,108.0,75.0,2265.0,15.2,80.0,3,toyota corolla
46.6,4.0,86.0,65.0,2110.0,17.9,80.0,3,mazda glc
27.9,4.0,156.0,105.0,2800.0,14.4,80.0,1,dodge colt
40.8,4.0,85.0,65.0,2110.0,19.2,80.0,3,datsun 210
44.3,4.0,90.0,48.0,2085.0,21.7,80.0,2,vw rabbit c (diesel)
43.4,4.0,90.0,48.0,2335.0,23.7,80.0,2,vw dasher (diesel)
36.4,5.0,121.0,67.0,2950.0,19.9,80.0,2,audi 5000s (diesel)
30.0,4.0,146.0,67.0,3250.0,21.8,80.0,2,mercedes-benz 240d
44.6,4.0,91.0,67.0,1850.0,13.8,80.0,3,honda civic 1500 gl
40.9,4.0,85.0,153.0,1835.0,17.3,80.0,2,renault lecar deluxe
33.8,4.0,97.0,67.0,2145.0,18.0,80.0,3,subaru dl
29.8,4.0,89.0,62.0,1845.0,15.3,80.0,2,vokswagen rabbit
32.7,6.0,168.0,132.0,2910.0,11.4,80.0,3,datsun 280-zx
23.7,3.0,70.0,100.0,2420.0,12.5,80.0,3,mazda rx-7 gs
35.0,4.0,122.0,88.0,2500.0,15.1,80.0,2,triumph tr7 coupe
23.6,4.0,140.0,112.0,2905.0,14.3,80.0,1,ford mustang cobra
32.4,4.0,107.0,72.0,2290.0,17.0,80.0,3,honda accord
27.2,4.0,135.0,84.0,2490.0,15.7,81.0,1,plymouth reliant
26.6,4.0,151.0,84.0,2635.0,16.4,81.0,1,buick skylark
25.8,4.0,156.0,92.0,2620.0,14.4,81.0,1,dodge aries wagon (sw)
23.5,6.0,173.0,110.0,2725.0,12.6,81.0,1,chevrolet citation
30.0,4.0,135.0,84.0,2385.0,12.9,81.0,1,plymouth reliant
39.1,4.0,79.0,58.0,1755.0,16.9,81.0,3,toyota starlet
39.0,4.0,86.0,64.0,1875.0,16.4,81.0,1,plymouth champ
35.1,4.0,81.0,60.0,1760.0,16.1,81.0,3,honda civic 1300
32.3,4.0,97.0,67.0,2065.0,17.8,81.0,3,subaru
37.0,4.0,85.0,65.0,1975.0,19.4,81.0,3,datsun 210 mpg
37.7,4.0,89.0,62.0,2050.0,17.3,81.0,3,toyota tercel
34.1,4.0,91.0,68.0,1985.0,16.0,81.0,3,mazda glc 4
34.7,4.0,105.0,63.0,2215.0,14.9,81.0,1,plymouth horizon 4
34.4,4.0,98.0,65.0,2045.0,16.2,81.0,1,ford escort 4w
29.9,4.0,98.0,65.0,2380.0,20.7,81.0,1,ford escort 2h
33.0,4.0,105.0,74.0,2190.0,14.2,81.0,2,volkswagen jetta
34.5,4.0,100.0,134.0,2320.0,15.8,81.0,2,renault 18i
33.7,4.0,107.0,75.0,2210.0,14.4,81.0,3,honda prelude
32.4,4.0,108.0,75.0,2350.0,16.8,81.0,3,toyota corolla
32.9,4.0,119.0,100.0,2615.0,14.8,81.0,3,datsun 200sx
31.6,4.0,120.0,74.0,2635.0,18.3,81.0,3,mazda 626
28.1,4.0,141.0,80.0,3230.0,20.4,81.0,2,peugeot 505s turbo diesel
30.7,6.0,145.0,76.0,3160.0,19.6,81.0,2,volvo diesel
25.4,6.0,168.0,116.0,2900.0,12.6,81.0,3,toyota cressida
24.2,6.0,146.0,120.0,2930.0,13.8,81.0,3,datsun 810 maxima
22.4,6.0,231.0,110.0,3415.0,15.8,81.0,1,buick century
26.6,8.0,350.0,105.0,3725.0,19.0,81.0,1,oldsmobile cutlass ls
20.2,6.0,200.0,88.0,3060.0,17.1,81.0,1,ford granada gl
17.6,6.0,225.0,85.0,3465.0,16.6,81.0,1,chrysler lebaron salon
28.0,4.0,112.0,88.0,2605.0,19.6,82.0,1,chevrolet cavalier
27.0,4.0,112.0,88.0,2640.0,18.6,82.0,1,chevrolet cavalier wagon
34.0,4.0,112.0,88.0,2395.0,18.0,82.0,1,chevrolet cavalier 2-door
31.0,4.0,112.0,85.0,2575.0,16.2,82.0,1,pontiac j2000 se hatchback
29.0,4.0,135.0,84.0,2525.0,16.0,82.0,1,dodge aries se
27.0,4.0,151.0,90.0,2735.0,18.0,82.0,1,pontiac phoenix
24.0,4.0,140.0,92.0,2865.0,16.4,82.0,1,ford fairmont futura
23.0,4.0,151.0,88.0,3035.0,20.5,82.0,1,amc concord dl
36.0,4.0,105.0,74.0,1980.0,15.3,82.0,2,volkswagen rabbit l
37.0,4.0,91.0,68.0,2025.0,18.2,82.0,3,mazda glc custom l
31.0,4.0,91.0,68.0,1970.0,17.6,82.0,3,mazda glc custom
38.0,4.0,105.0,63.0,2125.0,14.7,82.0,1,plymouth horizon miser
36.0,4.0,98.0,70.0,2125.0,17.3,82.0,1,mercury lynx l
36.0,4.0,120.0,88.0,2160.0,14.5,82.0,3,nissan stanza xe
36.0,4.0,107.0,75.0,2205.0,14.5,82.0,3,honda accord
34.0,4.0,108.0,70.0,2245.0,16.9,82.0,3,toyota corolla
38.0,4.0,91.0,67.0,1965.0,15.0,82.0,3,honda civic
32.0,4.0,91.0,67.0,1965.0,15.7,82.0,3,honda civic (auto)
38.0,4.0,91.0,67.0,1995.0,16.2,82.0,3,datsun 310 gx
25.0,6.0,181.0,110.0,2945.0,16.4,82.0,1,buick century limited
38.0,6.0,262.0,85.0,3015.0,17.0,82.0,1,oldsmobile cutlass ciera (diesel)
26.0,4.0,156.0,92.0,2585.0,14.5,82.0,1,chrysler lebaron medallion
22.0,6.0,232.0,112.0,2835.0,14.7,82.0,1,ford granada l
32.0,4.0,144.0,96.0,2665.0,13.9,82.0,3,toyota celica gt
36.0,4.0,135.0,84.0,2370.0,13.0,82.0,1,dodge charger 2.2
27.0,4.0,151.0,90.0,2950.0,17.3,82.0,1,chevrolet camaro
27.0,4.0,140.0,86.0,2790.0,15.6,82.0,1,ford mustang gl
44.0,4.0,97.0,52.0,2130.0,24.6,82.0,2,vw pickup
32.0,4.0,135.0,84.0,2295.0,11.6,82.0,1,dodge rampage
28.0,4.0,120.0,79.0,2625.0,18.6,82.0,1,ford ranger
31.0,4.0,119.0,82.0,2720.0,19.4,82.0,1,chevy s-10
24.29,8.0,190.54,286.87,2782.11,15.74,80.0,1,power model 472
25.98,4.0,209.43,252.01,2872.04,15.28,75.0,1,power model 121
19.7,6.0,206.01,253.29,3008.04,15.14,71.0,3,power model 931
25.29,8.0,191.24,284.34,2920.73,15.55,80.0,1,power model 341
23.3,6.0,192.73,262.31,3102.4,14.96,71.0,3,power model 180
24.8,4.0,167.97,266.27,3440.98,16.23,76.0,1,power model 655
24.67,4.0,197.0,255.34,2799.52,14.69,81.0,2,power model 891
21.41,8.0,175.06,277.59,3025.31,15.36,81.0,2,power model 620
22.46,6.0,206.18,251.27,3069.02,16.06,79.0,1,power model 872
23.85,4.0,205.88,295.83,2941.94,16.21,71.0,1,power model 827
25.0,4.0,229.43,264.46,2624.16,16.16,78.0,1,power model 317
22.3,4.0,175.83,252.98,2866.28,15.75,75.0,1,power model 963
21.3,4.0,215.17,275.92,2933.22,15.77,74.0,1,power model 640
22.25,6.0,182.96,296.56,3055.35,16.21,79.0,1,power model 719
25.66,4.0,197.09,294.91,2851.52,15.39,79.0,2,power model 727
21.41,8.0,172.17,259.07,2748.56,17.19,79.0,2,power model 783
22.47,4.0,182.71,261.72,2616.17,16.27,71.0,3,power model 609
25.21,4.0,214.38,258.26,2959.52,15.76,77.0,1,power model 484
22.62,4.0,184.64,274.98,3163.98,15.98,78.0,2,power model 379
24.07,6.0,192.97,270.54,3057.21,15.87,73.0,2,power model 425
24.75,4.0,202.42,266.97,3092.05,15.04,74.0,1,power model 810
24.35,4.0,174.35,269.95,2837.77,15.39,79.0,1,power model 362
25.15,4.0,204.4,278.2,2698.17,15.67,78.0,1,power model 552
23.92,4.0,209.73,267.61,3190.5,15.09,74.0,3,power model 219
24.85,6.0,230.73,269.24,2803.53,14.96,80.0,1,power model 819
23.51,6.0,185.43,259.76,3197.91,15.16,74.0,1,power model 787
23.13,4.0,177.71,263.99,3119.24,15.44,70.0,1,power model 376
27.79,4.0,195.38,275.13,3076.39,15.1,70.0,1,power model 291
21.84,4.0,203.49,297.08,2949.4,15.98,73.0,1,power model 799
22.81,6.0,209.63,269.87,2894.8,16.04,70.0,1,power model 834
21.72,8.0,222.4,98.34,2796.47,33.9,82.0,1,speed model 345
21.36,8.0,173.87,109.25,3057.44,38.8,80.0,3,speed model 924
21.66,4.0,203.75,103.84,2854.04,31.46,74.0,1,speed model 453
23.77,8.0,175.58,104.84,2879.87,35.88,74.0,1,speed model 669
22.78,6.0,216.13,105.67,2787.89,37.93,70.0,2,speed model 295
22.9,4.0,202.56,118.4,2845.22,32.25,78.0,1,speed model 735
21.47,4.0,151.91,98.32,3112.69,32.66,78.0,1,speed model 492
22.94,4.0,196.7,104.23,3111.29,33.16,71.0,1,speed model 587
23.8,4.0,205.48,122.15,3008.85,34.92,78.0,1,speed model 253
25.5,4.0,178.67,108.69,3101.62,35.27,81.0,1,speed model 711
23.12,8.0,167.4,118.15,2728.2,36.72,75.0,1,speed model 861
23.52,4.0,209.19,120.55,3040.52,36.54,78.0,1,speed model 596
24.05,4.0,212.74,109.99,3145.3,36.16,75.0,1,speed model 367
24.2,8.0,191.16,101.28,3005.59,33.87,73.0,1,speed model 295
21.88,4.0,221.09,108.73,2957.09,35.93,76.0,1,speed model 788
22.55,8.0,201.41,109.07,2711.72,38.8,71.0,3,speed model 468
25.3,4.0,211.32,100.16,2743.13,35.81,82.0,3,speed model 441
22.59,8.0,187.21,101.88,3137.09,39.61,82.0,2,speed model 950
22.18,4.0,193.13,106.76,2834.13,35.98,74.0,2,speed model 668
26.35,4.0,201.86,105.87,2984.44,38.55,74.0,3,speed model 269
58.54,6.0,160.44,105.78,3150.07,15.7,74.0,2,eco model 316
62.25,8.0,221.09,97.55,2574.17,15.37,73.0,1,eco model 957
57.27,4.0,160.34,101.79,3214.95,14.51,80.0,3,eco model 460
65.14,4.0,170.4,111.22,2877.4,14.21,73.0,1,eco model 157
51.23,4.0,194.88,112.98,3050.64,15.6,77.0,2,eco model 625
56.6,6.0,223.39,99.57,2946.16,15.24,82.0,1,eco model 221
54.57,8.0,149.13,100.97,2841.85,15.65,77.0,1,eco model 601
51.61,4.0,179.97,92.41,2713.9,15.94,71.0,1,eco model 352
68.87,8.0,228.56,91.38,2994.48,16.14,73.0,1,eco model 473
66.4,6.0,157.7,115.93,2951.03,16.25,82.0,3,eco model 617
64.14,4.0,227.6,106.95,2998.61,16.01,75.0,1,eco model 557
58.18,6.0,178.0,99.98,2826.71,15.05,82.0,1,eco model 133
57.81,4.0,200.36,99.19,3233.14,15.63,79.0,3,eco model 153
69.39,4.0,181.68,125.37,3207.0,15.35,72.0,1,eco model 534
68.16,3.0,197.66,105.55,3243.21,16.27,81.0,1,eco model 348
60.77,4.0,183.28,115.78,3136.67,15.75,79.0,1,eco model 237
68.61,4.0,157.9,104.71,3035.47,15.55,76.0,1,eco model 846
62.01,4.0,203.54,88.73,3367.08,14.96,70.0,1,eco model 459
64.23,4.0,214.22,103.28,3049.65,15.58,73.0,2,eco model 502
66.61,4.0,166.73,94.79,2979.04,15.3,77.0,1,eco model 445
67.99,4.0,185.61,98.63,2864.53,15.42,73.0,1,eco model 338
60.72,4.0,185.52,96.72,3001.17,15.14,76.0,1,eco model 738
68.56,6.0,209.46,98.94,3272.02,15.71,70.0,2,eco model 411
53.53,4.0,211.5,108.9,2909.76,16.07,70.0,1,eco model 730
58.17,8.0,179.94,96.54,3256.17,16.05,77.0,3,eco model 245
52.65,4.0,242.94,113.23,2895.82,16.44,71.0,1,eco model 617
68.09,4.0,163.91,109.89,2618.29,15.56,79.0,3,eco model 376
53.9,8.0,179.86,101.27,2870.09,15.09,74.0,3,eco model 236
52.52,8.0,141.23,110.6,3036.52,15.52,80.0,1,eco model 217
55.9,4.0,203.87,97.37,2987.25,15.98,70.0,2,eco model 399
54.9,4.0,206.78,98.67,3283.24,15.71,80.0,1,eco model 904
60.62,8.0,189.3,108.95,2677.49,16.25,78.0,1,eco model 271
54.83,6.0,181.28,107.23,2958.29,15.0,73.0,1,eco model 916
67.16,8.0,181.75,117.14,2884.32,14.88,79.0,3,eco model 671
66.99,8.0,200.47,101.87,2887.84,15.33,75.0,1,eco model 950
63.64,4.0,147.38,108.03,2924.66,16.09,80.0,3,eco model 715
58.16,6.0,154.41,102.35,2973.54,16.49,74.0,1,eco model 602
61.11,8.0,145.69,116.56,3176.16,15.08,70.0,3,eco model 768
60.41,8.0,203.43,117.76,3134.73,15.97,78.0,1,eco model 697
64.57,4.0,227.67,104.84,2985.17,15.05,77.0,1,eco model 315
62.48,4.0,259.63,106.6,2534.65,15.36,74.0,1,eco model 726
64.19,4.0,159.39,107.39,2791.17,15.29,81.0,1,eco model 233
58.62,4.0,207.07,104.71,3017.84,14.95,73.0,1,eco model 927
62.27,4.0,218.55,110.51,2863.74,15.47,70.0,1,eco model 396
68.59,4.0,172.79,104.15,2979.86,16.17,79.0,1,eco model 301
66.25,4.0,211.2,86.67,2931.49,15.91,81.0,1,eco model 739
55.27,4.0,169.96,103.97,2969.3,14.84,81.0,1,eco model 276
65.83,4.0,174.51,99.42,2983.7,14.75,72.0,2,eco model 788
61.59,8.0,195.72,114.15,2872.48,15.07,74.0,1,eco model 534
54.99,6.0,191.03,106.39,3405.69,14.96,78.0,2,eco model 470
23.11,6.0,253.07,,2151.01,14.08,75.0,1,missing model 899
26.47,,,,2039.42,,72.0,1,missing model 811
,,271.14,121.63,2409.97,,70.0,1,missing model 911
,,184.28,176.27,2518.85,18.85,,1,missing model 325
15.49,6.0,,133.37,3599.71,10.34,,1,missing model 300
,8.0,,159.86,3645.17,22.23,71.0,1,missing model 687
,,,183.61,3201.03,12.63,76.0,1,missing model 921
12.07,6.0,,126.84,3443.07,24.24,74.0,1,missing model 861
,,110.29,147.59,3541.82,,,3,missing model 715
16.16,6.0,,70.68,,22.11,70.0,3,missing model 111
