rate_math,rate_science,rate_english,rate_humanities,rate_art,tot_time,device,gender,age,resub_yn,comb_yn,othersub_yn,leave_yn
0.375,0.797,0.828,0.896,0.394,17.09,mobile,M,30,N,N,Y,1
0.951,0.482,0.765,0.909,0.473,28.57,tablet,F,25,N,Y,N,1
0.732,0.117,0.574,0.314,0.855,40.97,tablet,F,24,N,N,N,0
0.599,0.125,0.956,0.691,0.34,8.09,mobile,M,14,Y,N,N,1
0.156,0.686,0.2,0.272,0.87,45.34,tablet,F,15,Y,N,N,0
0.156,,0.109,0.191,0.088,41.22,tablet,F,47,Y,Y,N,0
0.058,,0.854,0.185,0.777,25.4,mobile,F,12,N,N,Y,0
0.866,0.492,0.439,0.342,0.848,35.43,tablet,M,57,N,N,Y,0
0.601,0.064,0.847,0.43,0.182,30.03,pc,F,21,N,N,Y,0
0.708,0.582,0.893,0.831,0.43,42.3,tablet,M,45,N,N,Y,0
0.021,,0.062,0.12,0.165,39.83,mobile,F,42,N,N,N,0
0.97,0.798,0.883,0.735,0.707,16.0,pc,M,45,N,Y,Y,0
0.832,0.31,0.448,0.531,0.535,35.87,pc,M,42,Y,Y,N,0
0.212,0.455,0.51,0.288,0.635,27.94,tablet,M,40,Y,N,N,0
0.182,0.012,0.627,0.493,0.196,30.83,pc,F,30,N,N,Y,0
0.183,0.072,0.926,0.3,0.212,22.72,mobile,M,36,N,Y,Y,0
0.304,0.392,0.019,0.596,0.041,47.48,pc,F,36,N,N,Y,1
0.525,0.48,0.477,0.434,0.322,40.4,tablet,M,17,N,N,Y,0
0.432,0.6,0.688,0.164,0.56,22.6,tablet,F,46,N,N,N,0
0.291,,0.723,0.117,0.858,16.65,pc,M,41,Y,Y,Y,1
0.612,0.695,0.693,0.547,0.667,26.14,mobile,F,35,Y,Y,N,0
0.139,,0.134,0.902,0.435,34.35,mobile,M,11,N,N,N,1
0.292,0.78,0.299,0.344,0.953,32.4,tablet,M,21,N,N,N,0
0.366,0.04,0.359,0.733,0.719,42.53,tablet,M,31,Y,N,N,0
0.456,0.481,0.804,0.659,0.93,37.9,mobile,F,26,Y,N,Y,0
0.785,0.105,0.279,0.932,0.528,,pc,M,16,Y,N,Y,0
0.2,0.242,0.211,0.821,0.259,33.27,pc,M,52,N,N,Y,0
0.514,0.987,0.957,0.567,0.053,,pc,M,13,N,N,Y,1
0.592,0.142,0.009,0.657,0.726,28.04,pc,M,46,Y,N,N,1
0.046,0.499,0.998,0.898,0.121,40.6,mobile,F,47,Y,N,N,0
0.608,0.618,0.677,0.4,0.303,29.48,tablet,M,41,Y,N,Y,1
0.171,0.702,0.828,0.327,0.532,,tablet,M,20,N,N,Y,0
0.065,0.56,0.295,0.011,0.564,26.81,pc,F,10,Y,N,Y,0
0.949,0.01,0.014,0.827,0.601,19.7,mobile,F,34,N,N,N,0
0.966,0.326,0.738,0.801,0.166,28.77,mobile,F,51,Y,N,N,1
0.808,0.518,0.834,0.104,0.38,33.09,pc,M,33,Y,N,N,0
0.305,0.088,0.74,0.577,0.617,23.44,pc,F,52,N,N,N,0
0.098,0.351,0.143,0.464,0.97,27.64,pc,F,26,N,N,Y,1
0.684,0.033,0.753,0.119,0.728,20.61,tablet,F,17,Y,N,Y,0
0.44,0.079,0.769,0.981,0.923,41.19,pc,M,54,N,N,Y,0
0.122,0.397,0.659,0.215,0.762,27.06,tablet,M,36,N,N,Y,0
0.495,0.133,0.766,0.067,0.592,44.53,mobile,M,27,N,N,N,0
0.034,0.568,0.846,0.595,0.192,45.29,mobile,F,36,N,N,N,0
0.909,0.689,0.614,0.739,0.667,29.19,tablet,M,31,N,Y,N,1
0.259,0.801,0.089,0.032,0.623,19.92,tablet,F,25,N,N,Y,0
0.663,0.2,0.488,0.659,0.602,9.14,tablet,F,11,Y,N,Y,0
0.312,0.167,0.078,0.532,0.49,15.28,tablet,F,14,N,N,Y,0
0.52,0.105,0.408,0.103,0.529,16.26,pc,M,27,N,N,N,0
0.547,0.636,0.407,0.173,0.334,43.78,mobile,F,12,Y,N,N,0
0.185,0.706,0.066,0.568,0.519,31.16,pc,F,36,Y,N,Y,1
0.97,0.032,0.349,0.296,0.198,33.9,tablet,M,26,Y,Y,N,0
0.775,0.936,0.111,0.938,0.805,7.8,pc,F,25,N,N,N,0
0.939,,0.808,0.819,0.186,18.02,pc,F,15,N,N,Y,0
0.895,0.541,0.948,0.984,0.085,38.87,mobile,F,16,N,N,N,0
0.598,0.709,0.072,0.26,0.436,32.87,pc,M,59,Y,Y,Y,1
0.922,0.871,0.955,0.97,0.658,28.53,mobile,F,23,N,Y,N,1
0.088,0.714,0.523,0.431,0.438,35.65,tablet,M,47,N,N,N,0
0.196,0.802,0.3,0.348,0.277,46.36,pc,M,49,N,N,N,1
0.045,0.339,0.077,0.05,0.558,27.79,tablet,F,24,N,N,Y,0
0.325,0.815,0.501,0.053,0.347,30.69,mobile,F,56,N,N,Y,0
0.389,0.08,0.795,0.692,0.933,31.93,tablet,F,56,N,N,Y,0
0.271,0.895,0.707,0.458,0.923,53.92,tablet,F,57,N,N,Y,0
0.829,0.548,0.05,0.227,0.502,9.01,mobile,M,42,N,N,N,1
,0.817,0.073,0.614,0.328,,tablet,M,52,N,N,N,0
0.281,0.452,0.403,0.253,0.737,28.85,tablet,F,36,N,Y,Y,0
0.543,0.644,0.295,0.578,0.037,35.67,tablet,M,38,Y,N,Y,1
0.141,0.526,0.232,0.359,0.475,23.43,pc,F,46,Y,N,Y,0
0.802,0.732,0.281,0.824,0.336,29.51,tablet,F,14,Y,N,Y,1
0.075,0.082,0.803,0.821,0.921,37.11,mobile,F,38,N,N,Y,0
0.987,0.06,0.929,0.477,0.012,61.13,pc,F,41,N,N,Y,0
0.772,0.247,0.405,0.351,0.553,38.08,pc,M,15,Y,Y,N,1
0.199,0.16,0.906,0.363,0.741,21.52,mobile,M,11,Y,N,Y,0
0.006,0.872,0.321,0.806,0.485,25.76,tablet,F,15,N,N,N,1
0.815,0.219,0.476,0.328,0.085,25.47,pc,F,55,N,N,N,0
0.707,0.976,0.226,0.209,0.972,12.04,pc,M,52,N,Y,Y,1
0.729,0.337,0.64,0.085,0.518,,pc,M,13,N,N,N,0
,0.182,0.979,0.467,0.614,37.33,tablet,M,38,N,Y,N,0
0.074,0.79,0.603,0.482,0.237,17.26,pc,F,34,N,Y,N,1
0.358,0.659,0.358,0.841,0.483,40.48,mobile,M,18,N,N,Y,0
0.116,0.498,0.648,0.221,0.429,34.88,tablet,F,12,Y,N,Y,1
0.863,0.555,0.123,0.381,0.075,22.66,mobile,F,35,N,N,N,1
0.623,0.719,0.889,0.808,0.106,28.58,mobile,M,57,N,N,N,1
0.331,0.228,0.503,0.824,0.837,45.98,pc,F,52,N,N,Y,1
0.064,0.996,0.449,0.385,0.24,37.34,pc,M,36,N,N,Y,0
0.311,0.975,0.586,0.459,0.195,30.09,pc,F,45,N,N,Y,0
0.325,0.65,0.625,0.303,0.505,,mobile,F,41,Y,N,Y,0
0.73,0.2,0.072,0.933,0.769,30.77,tablet,F,10,N,N,N,0
0.638,0.68,0.683,0.119,0.062,24.88,pc,F,25,Y,N,Y,0
0.887,0.072,0.242,0.934,0.577,8.95,pc,F,57,Y,N,Y,0
0.472,0.031,0.714,0.684,0.119,50.42,mobile,F,20,Y,N,N,0
0.12,0.258,0.823,0.532,0.036,31.55,tablet,M,35,N,Y,Y,0
0.713,0.463,0.804,0.033,0.053,33.98,mobile,M,49,N,N,N,0
0.761,0.868,0.553,0.476,0.834,29.42,pc,F,10,N,Y,N,1
0.561,0.727,0.52,0.408,0.118,22.65,mobile,M,35,N,N,Y,0
0.771,0.743,0.143,0.161,0.045,28.14,pc,F,37,N,Y,N,0
0.494,0.425,0.775,0.656,0.438,14.01,tablet,M,18,N,N,N,1
0.523,0.346,0.271,0.971,0.844,52.77,mobile,M,53,N,N,Y,0
0.428,0.371,0.497,0.562,0.262,17.65,pc,F,31,N,N,Y,1
,0.988,0.284,0.715,0.422,19.68,pc,M,17,N,N,N,0
0.108,0.04,0.134,0.068,0.04,25.6,pc,F,58,N,N,N,0
0.031,0.867,0.63,0.418,0.449,42.88,pc,M,51,N,N,N,0
0.636,0.579,0.054,0.116,0.578,30.15,mobile,F,36,N,N,Y,1
0.314,0.439,0.749,0.613,0.571,17.64,pc,M,48,Y,N,N,0
0.509,0.725,0.318,0.938,0.332,42.54,mobile,F,28,Y,N,Y,1
0.908,0.487,0.0,0.662,0.316,37.31,pc,M,34,N,N,N,0
0.249,0.873,0.511,0.077,0.107,,mobile,F,47,N,N,N,0
0.41,0.901,0.047,0.355,0.367,37.16,mobile,M,30,Y,N,N,0
0.756,0.422,0.276,0.551,0.099,53.94,pc,F,33,N,N,N,0
0.229,0.277,0.707,0.403,0.767,51.85,pc,M,33,Y,N,N,0
0.077,0.592,0.063,0.834,0.966,23.13,pc,F,28,N,N,N,1
0.29,0.912,0.839,0.815,0.97,46.24,pc,M,59,N,N,Y,0
0.161,0.211,0.004,0.612,0.865,33.83,tablet,F,56,N,N,N,0
0.93,0.623,0.247,0.373,0.601,,pc,F,11,Y,Y,N,0
0.808,0.632,0.741,0.255,0.701,13.08,pc,F,23,Y,N,Y,1
0.633,0.733,0.316,0.106,0.285,28.3,pc,F,41,N,Y,Y,1
0.871,0.132,0.102,0.355,0.631,21.87,mobile,M,51,Y,N,Y,1
0.804,0.716,0.36,0.413,0.456,38.28,pc,M,41,N,Y,N,1
0.187,0.909,0.27,0.676,0.482,40.71,mobile,M,37,N,N,N,1
0.893,0.18,0.843,0.658,0.758,9.26,mobile,F,57,Y,N,Y,1
0.539,0.238,0.313,0.07,0.282,29.78,mobile,F,48,Y,Y,N,1
,0.971,0.789,0.395,0.318,41.22,mobile,F,49,N,N,Y,0
0.896,0.181,0.892,0.182,0.925,28.13,tablet,F,51,Y,N,N,0
0.318,0.854,0.434,0.157,0.056,37.29,pc,F,56,Y,N,Y,0
0.11,0.492,0.91,0.827,0.486,33.51,mobile,M,49,N,N,Y,0
0.228,0.247,0.377,0.042,0.913,,pc,M,22,N,N,Y,0
0.427,0.871,0.964,0.419,0.61,27.29,mobile,M,21,N,Y,Y,0
0.818,0.445,0.089,0.168,0.546,17.83,tablet,F,17,Y,N,N,1
0.861,,0.687,0.879,0.25,18.78,mobile,F,24,N,N,N,0
0.007,0.359,0.494,0.557,0.343,37.09,pc,F,35,N,N,Y,1
0.511,0.593,0.388,0.231,0.852,30.19,pc,F,21,N,Y,Y,1
0.417,0.164,0.633,0.502,0.559,28.61,tablet,F,52,N,Y,Y,1
0.222,0.391,0.704,0.731,0.515,25.76,pc,F,55,N,N,N,1
0.12,0.969,0.004,0.958,0.1,26.95,pc,F,36,N,N,N,1
0.338,0.258,0.167,0.22,0.016,40.47,mobile,M,27,Y,N,Y,0
0.943,0.657,0.713,0.886,0.964,26.65,pc,M,54,N,Y,N,0
0.323,0.325,0.666,0.934,0.377,16.59,mobile,F,45,N,N,Y,0
0.519,0.773,0.966,0.916,0.603,37.44,tablet,F,58,N,N,N,1
0.703,0.131,0.761,0.635,0.08,27.95,pc,F,36,Y,N,N,1
0.364,0.97,0.951,0.63,0.683,30.31,mobile,M,18,Y,N,N,1
0.972,,0.703,0.403,0.933,46.08,pc,M,48,N,Y,N,0
0.962,0.236,0.298,0.752,0.576,29.79,mobile,F,10,N,N,N,0
0.252,0.073,0.105,0.531,0.126,32.89,tablet,M,16,N,N,N,0
0.497,0.17,0.782,0.677,0.582,18.21,mobile,M,35,Y,N,N,0
0.301,0.52,0.644,0.428,0.766,27.8,pc,M,16,Y,N,Y,0
0.285,0.337,0.048,0.731,0.406,36.1,mobile,F,16,N,N,Y,0
0.037,0.829,0.36,0.824,0.88,14.45,pc,M,17,N,N,Y,1
0.61,0.431,0.957,0.146,0.649,32.01,tablet,M,25,N,N,N,0
0.503,0.249,0.5,0.833,0.899,31.01,mobile,F,12,N,N,Y,0
0.051,0.617,0.433,0.54,0.624,30.41,pc,F,54,N,Y,Y,1
0.279,0.707,0.458,0.845,0.131,40.37,pc,M,19,N,N,Y,0
0.908,0.167,0.209,0.431,0.31,33.34,pc,F,59,N,N,Y,0
0.24,0.168,0.369,0.379,0.202,44.78,mobile,M,16,N,N,N,0
0.145,0.037,0.37,0.915,0.909,20.06,mobile,M,30,N,N,N,0
0.489,0.736,0.052,0.251,0.76,31.36,mobile,F,46,Y,N,N,0
0.986,0.664,0.768,0.844,0.676,30.84,tablet,F,40,N,N,N,0
0.242,0.475,0.417,0.484,0.301,19.31,pc,M,32,Y,N,N,0
0.672,0.844,0.822,0.514,0.184,,pc,F,36,N,N,Y,0
0.762,,0.85,0.308,0.756,53.25,tablet,F,31,N,N,Y,0
0.238,0.585,0.212,0.573,0.474,29.83,tablet,M,48,Y,N,N,1
0.728,0.868,0.657,0.325,0.226,35.05,mobile,M,36,N,N,Y,0
0.368,0.206,0.472,0.039,0.617,30.85,mobile,M,58,Y,Y,Y,1
0.632,0.112,0.88,0.272,0.04,22.86,mobile,M,13,N,N,N,0
0.634,0.27,0.216,0.006,0.326,11.79,mobile,M,33,N,N,Y,0
0.536,0.057,0.678,0.978,0.469,22.94,mobile,M,32,Y,N,Y,1
,0.531,0.608,0.966,0.148,16.08,mobile,F,57,N,N,Y,0
0.835,0.937,0.295,0.395,0.985,47.04,tablet,F,28,Y,N,Y,0
0.321,0.039,0.137,0.728,0.209,,tablet,M,51,Y,N,Y,0
0.187,,0.652,0.346,0.13,26.54,tablet,F,12,N,N,Y,0
0.041,0.452,0.739,0.671,0.204,38.89,pc,F,36,N,N,N,1
0.591,0.934,0.316,0.805,0.769,18.78,pc,M,12,Y,N,N,1
0.678,0.316,0.645,0.947,0.426,22.33,mobile,F,37,N,N,Y,0
,0.507,0.395,0.4,0.565,,tablet,F,26,N,Y,N,0
0.512,0.042,0.713,0.783,0.021,40.29,pc,M,40,N,N,Y,0
0.226,0.148,0.199,0.266,0.034,35.02,pc,F,19,Y,N,Y,1
0.645,0.987,0.89,0.99,0.446,32.48,tablet,F,58,N,Y,Y,1
0.174,0.965,0.287,0.026,0.817,30.78,pc,M,31,N,N,N,1
0.691,0.005,0.368,0.604,0.885,34.0,pc,F,39,N,N,Y,0
,0.952,0.058,0.66,0.087,32.02,tablet,F,58,N,N,N,1
0.937,0.639,0.112,0.688,0.538,19.7,pc,F,30,N,N,N,0
0.138,0.868,0.516,0.12,0.913,30.46,tablet,M,45,Y,N,N,0
0.341,,0.268,0.939,0.388,19.26,pc,M,32,N,N,N,1
0.113,0.516,0.835,0.181,0.83,30.81,tablet,F,47,N,Y,N,0
0.925,0.489,0.015,0.623,0.134,25.19,pc,F,21,N,N,Y,1
0.877,0.667,0.379,0.223,0.935,55.39,pc,M,34,N,N,Y,0
0.258,0.14,0.337,0.307,0.751,29.6,tablet,M,29,N,N,N,1
0.66,0.03,0.019,0.546,0.941,15.96,pc,F,58,N,Y,N,0
0.817,0.308,0.124,0.417,0.677,28.66,tablet,M,58,N,N,Y,0
0.555,0.705,0.414,0.16,0.363,35.19,tablet,F,51,Y,Y,Y,0
0.53,0.202,0.493,0.171,0.938,46.73,pc,F,16,N,N,Y,0
0.242,,0.404,0.418,0.276,24.11,mobile,M,38,N,N,Y,0
0.093,0.97,0.531,0.757,0.332,14.18,pc,M,57,N,Y,Y,0
,0.094,0.595,0.898,0.701,38.17,mobile,F,38,N,N,N,0
0.9,0.673,0.01,0.084,0.765,16.19,mobile,F,22,N,N,N,0
0.633,0.444,0.464,0.393,0.929,25.64,pc,M,12,N,N,Y,0
0.339,0.868,0.963,0.1,0.205,27.42,mobile,F,11,N,N,N,0
,0.177,0.519,0.017,0.798,29.3,tablet,M,25,N,Y,N,1
0.726,0.693,0.678,0.662,0.739,36.89,tablet,M,39,N,N,Y,1
0.897,0.838,0.312,0.602,0.064,23.16,mobile,M,47,N,Y,Y,0
0.887,0.945,0.774,0.163,0.387,27.26,tablet,M,15,Y,N,N,0
0.78,0.683,0.773,0.234,0.283,29.86,pc,M,54,Y,N,N,1
0.642,0.497,0.521,0.024,0.304,,tablet,F,16,N,N,Y,0
0.084,0.618,0.976,0.835,0.983,30.98,mobile,M,14,Y,N,N,0
0.162,0.869,0.126,0.975,0.643,34.36,pc,M,16,N,N,Y,0
,0.571,0.017,0.135,0.718,38.44,tablet,M,43,Y,N,Y,0
0.606,0.03,0.77,0.231,0.977,33.93,pc,M,41,N,N,Y,0
0.009,0.931,0.807,0.868,0.377,34.54,mobile,M,58,Y,Y,Y,0
0.101,0.69,0.12,0.926,0.802,14.18,tablet,M,22,N,N,N,0
0.664,0.677,0.266,0.42,0.435,30.5,pc,M,39,N,N,N,0
0.005,0.216,0.018,0.051,0.87,34.8,pc,F,34,N,N,Y,0
0.161,0.659,0.293,0.039,0.181,37.29,tablet,F,30,N,N,N,0
0.549,0.394,0.773,0.574,0.948,23.08,pc,F,30,N,N,N,0
0.692,,0.518,0.393,0.219,23.41,pc,F,37,N,N,Y,0
0.652,0.107,0.348,0.029,0.326,24.26,mobile,M,57,Y,N,N,1
0.224,0.658,0.372,0.583,0.756,35.36,mobile,F,29,N,N,Y,0
,0.999,0.001,0.011,0.394,40.34,mobile,M,43,N,Y,N,0
0.237,0.048,0.3,0.787,0.608,25.93,mobile,F,14,N,N,Y,0
0.325,0.977,0.646,0.306,0.445,39.08,mobile,F,27,Y,N,N,0
,0.407,0.974,0.04,0.742,31.23,mobile,M,48,N,N,Y,0
0.65,0.871,0.847,0.588,0.228,28.76,tablet,M,52,Y,N,N,0
0.849,0.782,0.024,0.398,0.058,27.89,mobile,F,20,N,N,N,1
0.658,0.567,0.899,0.974,0.3,37.47,pc,F,26,N,N,Y,0
0.568,0.738,0.783,0.544,0.474,33.26,tablet,F,57,Y,N,Y,1
0.094,0.879,0.78,0.275,0.168,52.76,pc,F,54,N,Y,Y,0
0.368,0.404,0.458,0.709,0.355,21.48,mobile,M,31,N,N,N,1
0.265,0.327,0.398,0.271,0.4,35.18,mobile,F,46,N,N,Y,1
0.244,0.668,0.303,0.904,0.057,,pc,F,29,Y,N,N,1
0.973,0.808,0.066,0.375,0.583,21.31,pc,F,57,N,N,Y,0
0.393,0.762,0.228,0.55,0.884,29.89,pc,F,57,Y,N,Y,0
,0.798,0.247,0.051,0.152,,tablet,F,57,N,N,Y,1
0.631,0.436,0.484,0.426,0.598,59.18,mobile,M,55,N,N,Y,1
0.795,0.818,0.747,0.832,0.665,28.16,pc,M,15,N,Y,N,1
0.503,,0.474,0.806,0.419,18.7,mobile,M,43,Y,N,N,0
0.577,0.544,0.058,0.224,0.701,32.73,pc,M,23,N,Y,Y,1
0.493,0.006,0.958,0.226,0.411,9.25,mobile,M,57,Y,N,N,0
0.195,0.325,0.943,0.817,0.505,29.08,tablet,F,32,N,N,Y,0
0.722,0.366,0.785,0.93,0.007,30.16,mobile,M,29,Y,N,N,0
0.281,0.396,0.991,0.095,0.692,37.95,pc,M,22,N,Y,Y,0
0.024,0.695,0.544,0.45,0.661,,mobile,F,56,Y,N,N,1
0.645,0.389,0.963,0.337,0.038,24.96,tablet,M,53,Y,N,N,0
0.177,0.449,0.076,0.871,0.368,28.49,tablet,M,50,Y,Y,Y,0
0.94,0.238,0.366,0.084,0.979,22.34,mobile,M,41,N,N,N,0
,0.373,0.225,0.211,0.421,18.72,pc,M,35,Y,N,Y,0
,0.227,0.196,0.752,0.502,33.1,tablet,F,59,N,N,Y,0
0.37,0.073,0.141,0.051,0.91,17.26,tablet,F,23,N,N,Y,0
,0.603,0.622,0.493,0.717,25.85,mobile,M,45,N,Y,Y,0
0.928,0.668,0.781,0.442,0.582,20.05,tablet,F,17,N,N,Y,1
0.428,0.619,0.578,0.334,0.798,35.5,tablet,M,49,Y,N,Y,1
0.967,0.463,0.147,0.395,0.864,48.01,pc,F,31,N,N,Y,0
0.964,0.38,0.811,0.53,0.457,16.98,pc,F,31,Y,N,Y,0
0.853,0.863,0.636,0.161,0.475,11.47,pc,F,25,N,N,N,0
0.294,0.519,0.388,0.572,0.386,28.75,mobile,F,36,Y,N,N,1
0.385,0.479,0.674,0.805,0.967,30.16,tablet,F,19,N,Y,Y,0
0.851,0.026,0.26,0.76,0.697,32.19,mobile,F,34,N,N,Y,0
0.317,0.341,0.345,0.154,0.083,25.54,tablet,F,40,N,N,Y,0
0.169,0.38,0.917,0.149,0.863,27.99,tablet,F,30,Y,N,N,1
0.557,0.399,0.291,0.268,0.481,33.68,tablet,F,36,N,N,N,0
0.936,0.58,0.47,0.361,0.069,40.4,pc,F,26,Y,N,Y,0
0.696,0.534,0.89,0.408,0.55,10.45,mobile,F,42,N,N,Y,1
0.57,0.608,0.708,0.68,0.417,26.31,mobile,M,40,N,N,Y,0
0.097,0.765,0.062,0.057,0.878,,tablet,F,59,N,N,Y,1
0.615,0.813,0.147,0.035,0.204,20.82,mobile,M,51,N,N,N,0
0.99,0.718,0.008,0.392,0.826,47.31,pc,F,35,N,Y,N,1
0.14,0.956,0.631,0.697,0.558,23.65,mobile,M,30,N,N,Y,0
0.518,0.018,0.448,0.193,0.055,,tablet,M,45,N,N,N,1
0.877,0.196,0.134,0.642,0.972,35.56,pc,M,10,N,N,Y,0
0.741,0.008,0.958,0.26,0.513,24.09,pc,F,13,N,N,Y,1
0.697,0.647,0.53,0.886,0.291,11.53,tablet,F,13,Y,N,N,0
0.702,0.898,0.242,0.896,0.469,25.71,mobile,F,35,N,N,N,0
0.359,0.243,0.501,0.297,0.858,40.29,tablet,F,13,N,N,Y,1
0.294,0.927,0.68,0.23,0.305,26.63,mobile,M,58,Y,N,Y,0
0.809,0.06,0.076,0.411,0.193,21.54,mobile,F,18,N,N,N,0
,0.934,0.275,0.241,0.129,39.26,pc,F,39,N,Y,N,0
0.867,0.352,0.807,0.672,0.298,26.69,tablet,F,54,Y,Y,Y,1
0.913,0.101,0.46,0.826,0.78,24.9,pc,F,13,N,N,Y,0
0.511,,0.547,0.673,0.472,31.49,tablet,F,14,N,N,Y,1
0.502,0.257,0.433,0.824,0.227,37.71,tablet,F,54,N,N,N,0
0.798,0.285,0.044,0.397,0.166,53.82,pc,F,32,N,N,N,0
0.65,0.307,0.166,0.156,0.333,38.27,tablet,F,25,N,N,Y,0
,0.803,0.446,0.738,0.94,41.6,tablet,M,31,Y,Y,N,0
0.796,0.539,0.209,0.36,0.343,24.94,mobile,M,46,N,N,N,0
0.89,0.311,0.05,0.671,0.988,19.74,tablet,F,17,N,N,Y,0
0.338,0.61,0.844,0.271,0.485,30.62,tablet,F,57,N,Y,Y,0
0.376,,0.981,0.081,0.179,31.07,pc,F,42,N,N,N,1
0.094,0.273,0.793,0.993,0.891,19.21,pc,F,47,N,Y,N,0
,0.414,0.854,0.156,0.46,28.25,tablet,M,52,N,N,N,0
0.036,0.122,0.242,0.988,0.71,,mobile,M,25,N,N,N,0
,0.181,0.961,0.977,0.984,33.6,mobile,F,14,N,Y,Y,0
0.543,0.681,0.197,0.794,0.05,35.04,pc,M,25,N,Y,Y,0
0.287,0.181,0.951,0.659,0.097,32.91,tablet,M,16,N,Y,N,0
0.591,0.525,0.995,0.578,0.72,24.93,tablet,F,10,N,Y,Y,1
0.031,0.709,0.712,0.866,0.282,24.86,mobile,F,18,Y,N,N,0
0.037,0.107,0.981,0.289,0.184,18.01,mobile,F,27,N,N,N,0
,0.567,0.57,0.468,0.039,47.85,mobile,M,54,N,N,N,0
0.36,0.257,0.26,0.619,0.022,30.13,pc,M,56,N,N,Y,0
0.127,0.963,0.437,0.411,0.774,27.75,tablet,F,12,N,N,N,0
0.522,0.484,0.594,0.427,0.134,20.71,pc,F,33,N,N,N,0
,0.806,0.073,0.33,0.468,59.36,tablet,M,37,Y,N,N,0
0.216,0.55,0.622,0.564,0.606,19.27,pc,M,19,N,N,Y,0
0.623,0.043,0.981,0.851,0.428,25.71,tablet,F,18,N,N,Y,1
0.085,0.633,0.19,0.202,0.027,34.16,mobile,M,22,Y,N,Y,0
0.052,0.951,0.793,0.934,0.784,36.0,mobile,F,57,Y,N,Y,0
0.531,0.602,0.908,0.689,0.011,39.58,mobile,F,44,N,N,Y,0
0.541,0.819,0.944,0.823,0.762,48.08,pc,M,32,N,N,N,0
0.637,0.884,0.96,0.556,0.893,35.06,mobile,M,56,N,N,N,0
0.726,0.228,0.521,0.78,0.433,19.44,tablet,M,26,N,N,N,0
0.976,0.212,0.977,0.016,0.536,27.43,pc,F,55,N,N,N,1
0.516,0.611,0.757,0.818,0.477,33.08,tablet,F,16,N,N,Y,0
0.323,0.411,0.162,0.04,0.389,50.68,pc,F,25,N,N,N,0
0.795,0.84,0.477,0.89,0.887,16.02,tablet,F,49,Y,N,Y,0
0.271,0.9,0.718,0.992,0.894,42.03,tablet,F,45,N,Y,Y,0
0.439,,0.247,0.294,0.336,31.8,pc,F,29,N,N,Y,0
0.078,0.237,0.641,0.21,0.615,38.38,pc,M,33,N,N,N,0
