years_experience,salary,education_level,department,overtime,job_satisfaction,work_life_balance,attrition
15.0,54.6,master,finance,N,3,4,1
5.6,116.6,bachelor,hr,N,3,2,1
11.0,32.2,phd,hr,N,4,2,1
16.2,82.2,phd,sales,Y,1,3,1
12.4,97.7,high_school,engineering,N,2,3,1
8.7,84.0,master,hr,Y,4,4,1
,,phd,hr,N,3,4,0
7.2,72.7,master,marketing,N,4,1,0
5.8,109.7,master,marketing,N,4,2,0
11.8,40.4,high_school,engineering,N,2,4,1
13.1,66.0,high_school,marketing,N,2,1,1
2.9,91.7,bachelor,engineering,N,4,1,1
2.0,97.9,master,engineering,N,3,2,0
11.1,88.2,master,hr,Y,3,1,0
13.4,48.0,high_school,marketing,N,2,3,1
4.4,42.8,high_school,finance,N,1,1,1
0.5,66.8,bachelor,finance,Y,1,4,0
2.5,69.9,high_school,engineering,Y,3,4,0
14.9,118.0,master,hr,N,2,2,0
10.8,86.9,phd,finance,N,3,3,0
1.7,114.9,master,finance,N,4,3,1
15.2,50.6,bachelor,sales,N,2,1,0
0.6,85.3,high_school,finance,N,3,1,1
10.8,41.9,bachelor,hr,N,3,3,1
20.0,74.1,high_school,finance,N,1,2,1
0.2,97.5,phd,sales,Y,2,3,0
19.0,,phd,marketing,N,3,1,0
1.3,34.6,high_school,engineering,N,3,4,0
8.1,96.4,bachelor,finance,N,2,4,0
10.2,57.5,phd,sales,N,2,3,1
6.2,57.7,phd,finance,Y,4,2,1
13.4,38.7,high_school,hr,N,1,4,0
10.1,30.3,high_school,marketing,Y,4,3,0
4.3,119.7,phd,engineering,N,3,3,0
1.5,97.7,high_school,marketing,N,1,3,1
,52.5,high_school,engineering,Y,2,4,0
7.2,44.9,bachelor,sales,Y,1,1,0
4.1,110.3,phd,sales,N,4,4,0
6.1,88.3,master,sales,N,1,4,1
14.2,84.7,phd,hr,N,3,4,1
18.8,58.2,high_school,finance,N,2,2,0
18.2,32.7,high_school,finance,N,4,3,0
19.8,44.8,phd,marketing,N,2,4,1
15.5,87.7,high_school,sales,N,4,2,1
13.7,33.0,bachelor,engineering,N,3,4,0
16.4,95.1,bachelor,sales,Y,3,1,1
18.6,,master,marketing,Y,1,1,1
16.4,85.0,high_school,marketing,N,3,2,0
5.4,72.6,high_school,sales,N,4,1,0
16.4,84.9,high_school,sales,N,2,2,1
18.0,44.4,master,finance,N,4,4,1
2.8,88.4,phd,sales,N,3,3,1
18.4,51.8,high_school,marketing,N,2,4,0
3.7,106.8,high_school,hr,N,3,2,1
14.2,73.4,phd,finance,N,2,4,0
1.7,92.3,bachelor,hr,Y,1,1,0
14.1,51.4,phd,hr,Y,3,4,0
4.0,112.6,phd,finance,Y,3,4,0
16.2,102.5,phd,sales,N,2,2,1
4.5,84.9,phd,hr,Y,3,3,0
13.0,89.7,bachelor,sales,Y,1,4,0
5.9,103.2,master,hr,N,3,4,1
3.7,63.0,bachelor,hr,N,4,3,0
16.2,115.3,bachelor,finance,Y,1,3,0
13.5,112.8,high_school,marketing,Y,1,2,0
1.0,116.7,master,engineering,Y,1,2,0
18.1,88.1,high_school,hr,N,4,4,1
12.5,55.2,phd,finance,N,4,2,0
16.2,91.0,master,hr,N,1,4,1
10.1,86.9,bachelor,engineering,N,1,1,1
3.0,34.0,bachelor,hr,N,2,3,1
1.4,95.8,phd,marketing,N,1,1,1
13.0,87.0,phd,marketing,Y,4,3,0
9.2,71.3,bachelor,hr,Y,2,4,0
4.4,50.2,phd,hr,N,4,1,0
8.3,62.6,bachelor,sales,N,3,4,0
1.1,60.1,bachelor,marketing,N,4,2,0
16.9,116.7,high_school,marketing,Y,4,3,0
14.4,82.2,bachelor,engineering,N,1,3,0
14.4,109.9,master,finance,Y,4,1,1
14.6,100.7,master,marketing,N,4,2,1
13.7,73.4,high_school,sales,Y,4,3,0
5.8,108.7,high_school,finance,N,3,2,1
2.8,105.5,bachelor,sales,Y,3,3,0
15.4,49.7,master,engineering,N,1,1,1
,112.2,bachelor,marketing,Y,2,3,1
17.1,82.6,phd,marketing,N,3,3,0
9.8,101.9,bachelor,finance,N,1,2,1
0.4,115.1,phd,hr,Y,4,3,0
10.1,84.0,master,finance,Y,3,4,0
19.5,118.8,bachelor,finance,N,1,1,0
17.7,53.2,phd,engineering,N,3,1,0
6.1,101.1,phd,hr,N,4,2,1
1.2,95.0,master,sales,Y,4,2,1
2.5,104.1,master,engineering,N,1,4,0
3.3,54.2,bachelor,sales,Y,3,4,0
6.0,96.9,phd,finance,N,4,3,0
15.2,,master,hr,N,1,3,1
2.6,66.2,bachelor,finance,Y,1,4,0
1.8,93.7,high_school,marketing,N,4,2,0
9.9,98.5,high_school,hr,N,4,2,1
13.9,41.5,bachelor,engineering,N,1,4,1
11.2,115.2,phd,finance,N,3,1,1
10.0,55.5,master,hr,N,3,2,1
8.9,94.5,bachelor,marketing,Y,3,2,0
1.5,,bachelor,marketing,Y,2,4,0
16.9,74.9,phd,finance,N,3,3,0
,48.8,phd,engineering,N,2,2,0
10.8,71.3,master,hr,N,2,4,0
4.3,63.2,master,finance,N,4,3,0
6.7,,master,sales,N,2,3,1
7.8,89.5,bachelor,finance,N,1,2,0
11.2,76.7,high_school,sales,N,4,4,1
8.1,117.7,phd,hr,N,2,2,0
10.1,42.2,bachelor,hr,N,4,2,0
19.6,44.8,master,marketing,N,1,4,0
18.2,68.4,bachelor,marketing,Y,3,3,0
15.7,118.5,phd,finance,N,4,3,0
1.0,45.2,high_school,engineering,N,3,3,0
16.1,75.9,bachelor,sales,Y,1,3,0
17.1,55.1,master,marketing,N,1,3,0
11.2,104.7,high_school,hr,N,1,3,0
15.6,63.0,phd,hr,N,1,2,0
18.2,60.1,master,engineering,N,4,4,1
16.9,101.7,phd,engineering,N,2,4,0
8.6,60.6,high_school,hr,Y,2,2,0
14.4,90.9,master,marketing,Y,3,2,0
6.0,98.7,master,engineering,N,2,4,0
13.8,76.4,bachelor,sales,N,2,1,0
15.5,48.4,master,engineering,N,4,1,0
1.3,96.8,high_school,hr,Y,1,3,0
3.6,99.3,high_school,marketing,N,1,3,0
13.3,,master,finance,N,4,4,0
4.3,95.9,master,hr,N,3,1,0
19.9,31.0,high_school,finance,N,2,2,0
8.7,107.2,bachelor,sales,N,1,4,1
8.6,55.7,master,hr,N,4,1,1
3.9,46.7,high_school,hr,N,3,1,1
19.7,63.0,high_school,sales,N,3,4,0
11.3,81.1,phd,engineering,N,1,2,1
18.6,32.1,bachelor,finance,N,4,1,0
5.1,42.5,phd,engineering,N,4,1,0
0.8,71.2,bachelor,engineering,N,3,1,0
6.5,102.3,bachelor,engineering,N,3,3,0
17.7,72.1,master,engineering,N,2,1,1
,34.2,phd,sales,N,3,1,0
,42.2,bachelor,marketing,Y,4,3,1
8.6,64.2,master,engineering,N,4,1,0
15.7,117.6,bachelor,finance,N,1,3,0
3.7,85.5,high_school,marketing,N,2,3,0
6.3,69.3,master,hr,Y,1,2,0
12.8,46.1,high_school,marketing,N,4,4,0
11.7,109.2,master,marketing,N,3,1,0
18.1,72.1,master,sales,Y,1,4,0
1.1,57.9,master,marketing,N,4,2,0
6.6,51.2,high_school,engineering,Y,1,4,0
17.5,37.0,phd,finance,Y,2,4,1
1.9,106.6,high_school,sales,N,2,4,1
4.7,97.4,master,marketing,Y,4,1,1
14.6,68.7,high_school,hr,N,2,3,1
1.7,91.4,phd,marketing,N,3,3,0
15.4,61.1,master,sales,N,1,2,1
8.6,87.5,phd,finance,N,1,3,1
19.2,52.8,high_school,sales,N,4,4,1
15.1,34.3,phd,engineering,N,1,3,0
5.3,88.8,phd,marketing,N,3,2,0
9.9,55.3,master,finance,N,1,4,0
17.8,38.0,high_school,finance,Y,2,4,1
6.3,111.7,phd,marketing,Y,1,3,1
0.9,114.7,high_school,finance,N,3,3,0
14.6,98.1,high_school,finance,N,2,1,0
12.0,37.7,phd,marketing,Y,2,3,0
1.3,112.2,master,finance,N,2,3,0
5.3,,master,engineering,N,2,2,0
1.9,114.8,high_school,engineering,Y,3,4,0
5.9,116.3,phd,engineering,N,3,2,0
9.8,77.3,phd,sales,N,3,2,0
0.1,94.7,phd,marketing,N,3,4,0
11.5,118.1,high_school,hr,N,3,4,1
8.0,108.7,phd,sales,Y,2,4,1
11.3,34.9,high_school,sales,N,2,3,0
2.7,87.0,phd,engineering,N,4,4,0
4.1,110.1,high_school,engineering,Y,3,3,1
8.5,,master,engineering,N,2,1,0
5.9,46.1,high_school,finance,N,4,4,0
13.0,,high_school,engineering,N,4,4,0
0.2,76.0,high_school,sales,Y,1,2,0
11.0,89.3,master,engineering,N,3,3,0
6.5,66.9,phd,finance,N,2,3,0
7.2,63.8,high_school,marketing,Y,4,2,0
3.0,115.3,master,hr,N,4,2,0
18.0,43.0,master,hr,N,1,2,0
13.7,104.5,bachelor,finance,N,4,1,0
19.0,88.9,master,finance,N,4,1,0
5.8,72.3,high_school,hr,Y,3,3,0
13.2,40.4,phd,sales,N,4,3,0
2.9,79.3,phd,hr,N,4,3,0
2.0,50.9,bachelor,engineering,N,1,3,0
5.0,48.2,bachelor,marketing,N,2,2,0
8.7,74.6,phd,hr,N,4,2,0
4.1,113.2,master,hr,N,4,4,1
,96.8,bachelor,marketing,N,2,3,1
12.6,48.9,phd,engineering,Y,4,1,0
16.0,72.5,master,marketing,N,4,4,0
10.1,72.8,bachelor,finance,N,1,3,0
19.1,56.1,bachelor,sales,N,4,4,0
9.5,103.0,bachelor,hr,Y,4,3,0
18.4,111.1,phd,sales,N,2,2,0
9.4,68.4,master,hr,Y,3,4,0
3.9,35.4,phd,engineering,Y,2,3,1
12.3,32.8,bachelor,finance,N,4,1,0
12.5,60.3,phd,hr,Y,4,4,0
10.9,86.7,phd,hr,Y,3,2,0
5.9,93.1,master,finance,N,1,4,1
7.4,107.6,master,engineering,N,1,2,0
14.5,88.4,master,sales,N,4,2,0
10.1,97.9,high_school,hr,Y,4,3,0
4.2,55.7,master,hr,Y,4,4,0
4.2,30.5,phd,sales,N,4,3,0
11.6,78.9,phd,marketing,N,3,1,1
,108.5,bachelor,marketing,N,2,1,1
0.7,90.8,high_school,engineering,N,1,2,1
2.3,85.9,bachelor,engineering,N,2,4,0
18.2,68.5,master,engineering,N,2,2,0
7.6,53.1,bachelor,marketing,N,2,4,0
6.0,84.6,master,engineering,N,4,3,0
10.3,46.0,phd,hr,N,1,3,1
1.8,41.5,master,marketing,Y,4,4,0
,53.2,bachelor,engineering,N,3,4,0
14.8,66.4,master,finance,N,3,2,1
16.4,83.3,bachelor,marketing,N,4,2,1
9.5,30.5,master,marketing,Y,4,2,1
,52.7,master,hr,N,3,1,1
10.2,109.0,master,hr,N,1,4,0
10.0,104.3,high_school,engineering,N,2,1,0
6.5,112.5,bachelor,marketing,N,2,3,0
2.9,67.3,phd,finance,N,2,1,0
4.3,74.0,bachelor,hr,Y,4,3,0
7.3,66.7,bachelor,marketing,N,3,4,1
10.3,72.5,high_school,hr,N,4,2,0
13.3,74.4,master,hr,Y,1,2,0
0.0,77.6,high_school,finance,Y,2,2,0
10.2,50.0,master,marketing,Y,3,3,0
1.7,65.3,high_school,finance,N,3,4,0
4.1,108.2,high_school,engineering,N,1,2,0
6.0,64.6,bachelor,finance,Y,4,3,1
7.3,102.0,high_school,sales,N,2,1,0
5.4,106.4,bachelor,marketing,N,1,4,1
17.0,96.2,high_school,hr,N,1,4,1
5.3,51.3,master,engineering,Y,3,3,0
3.9,78.6,master,hr,N,2,2,0
18.0,78.8,master,hr,N,2,1,0
5.4,31.3,high_school,hr,Y,2,3,0
8.3,94.4,master,finance,N,4,1,1
1.0,38.6,bachelor,hr,N,2,1,0
18.6,107.3,high_school,hr,Y,1,2,0
10.0,49.3,bachelor,finance,N,4,1,1
11.0,34.7,phd,finance,N,1,4,0
,90.0,bachelor,engineering,N,3,2,1
4.2,47.4,phd,sales,Y,2,2,1
,95.8,high_school,engineering,Y,2,1,0
5.1,82.9,master,marketing,Y,2,3,0
14.5,103.9,master,engineering,Y,3,2,1
4.1,73.5,bachelor,finance,N,3,4,0
0.3,99.5,high_school,finance,N,4,2,0
18.7,,master,finance,Y,2,1,1
1.7,45.2,high_school,finance,N,1,2,0
12.5,115.9,master,finance,N,2,4,0
,69.6,bachelor,sales,N,4,2,0
3.3,111.9,master,hr,N,3,2,0
11.1,76.8,master,engineering,Y,4,1,1
0.1,115.7,master,hr,N,2,2,0
15.7,117.4,bachelor,finance,N,1,2,0
9.9,89.2,master,finance,N,1,1,1
4.0,61.2,high_school,engineering,Y,1,3,0
7.2,111.9,bachelor,marketing,N,4,2,1
8.9,86.9,master,sales,N,1,1,0
9.8,114.9,master,marketing,N,2,3,0
6.7,32.3,high_school,hr,N,2,2,0
18.4,100.8,phd,engineering,Y,3,2,1
11.3,100.0,master,marketing,Y,2,1,0
15.2,58.7,master,marketing,Y,2,4,0
8.5,114.6,phd,hr,N,3,1,1
19.5,35.9,bachelor,hr,N,3,2,0
12.3,36.0,master,engineering,N,2,1,1
12.9,117.2,bachelor,hr,Y,3,3,1
16.3,107.7,high_school,sales,Y,1,2,0
3.3,,high_school,engineering,N,3,3,0
0.2,112.0,bachelor,marketing,N,1,1,0
15.8,96.1,master,sales,N,4,3,0
4.2,109.5,master,finance,N,4,1,1
16.0,40.9,high_school,finance,N,4,4,0
8.8,78.4,bachelor,engineering,Y,2,1,1
19.4,114.0,master,engineering,N,1,2,0
10.0,62.5,master,finance,Y,2,2,1
19.4,100.7,bachelor,finance,N,3,3,0
14.0,63.8,bachelor,sales,Y,4,3,1
0.5,42.7,bachelor,sales,N,2,4,0
6.3,50.6,high_school,engineering,N,1,4,1
5.0,32.7,master,finance,N,4,1,0
18.8,112.0,bachelor,engineering,N,2,3,1
15.4,85.1,phd,engineering,N,3,1,1
13.9,98.3,phd,engineering,N,2,3,1
5.4,93.6,high_school,marketing,N,2,3,1
15.1,,master,sales,Y,2,1,0
6.7,72.5,bachelor,marketing,N,1,2,1
18.7,110.5,high_school,finance,Y,1,1,0
8.3,69.5,high_school,marketing,Y,4,4,0
15.5,73.5,master,sales,Y,2,4,0
2.3,75.0,phd,sales,Y,3,1,1
14.3,87.6,master,hr,N,3,2,0
12.7,63.0,phd,hr,N,3,3,1
6.9,106.6,high_school,finance,N,1,3,0
8.0,104.3,phd,engineering,N,4,2,0
7.8,98.3,phd,sales,N,1,3,1
17.5,30.5,phd,hr,N,3,1,1
13.3,56.0,master,marketing,N,4,4,0
1.6,32.7,phd,hr,Y,1,3,1
5.4,71.1,bachelor,sales,N,3,2,0
13.4,104.7,high_school,engineering,N,2,4,0
6.2,112.9,high_school,hr,N,3,2,1
15.2,88.0,phd,hr,N,1,3,0
16.3,115.9,master,sales,N,2,3,0
15.2,83.6,master,marketing,Y,1,2,0
9.8,97.3,bachelor,finance,N,2,4,0
16.1,34.5,master,hr,Y,3,2,0
11.0,81.9,phd,sales,Y,3,1,0
17.4,,bachelor,finance,Y,1,4,0
11.7,33.3,bachelor,finance,Y,4,3,1
4.0,112.1,bachelor,marketing,N,3,1,0
3.3,75.6,bachelor,engineering,Y,3,4,0
8.8,50.4,phd,engineering,N,1,3,0
3.5,118.0,phd,marketing,N,2,1,0
11.2,40.3,master,finance,N,4,4,0
15.6,50.6,bachelor,hr,Y,4,3,0
9.3,65.6,high_school,hr,Y,3,1,0
20.0,48.3,phd,marketing,N,3,3,0
1.7,115.0,master,hr,N,4,3,0
5.0,,bachelor,engineering,Y,1,1,1
19.6,94.8,bachelor,sales,N,3,2,0
4.0,77.3,high_school,hr,N,3,2,0
10.4,42.7,high_school,finance,N,2,3,0
5.0,73.9,high_school,marketing,Y,1,4,0
14.6,39.6,master,sales,Y,1,3,0
12.8,86.2,bachelor,hr,Y,3,2,0
,72.6,bachelor,marketing,N,1,3,0
6.6,106.2,master,hr,N,1,1,1
18.6,39.7,master,engineering,N,3,3,1
,60.9,bachelor,sales,N,4,3,0
9.8,36.8,high_school,hr,N,3,3,0
8.1,106.9,high_school,marketing,N,3,2,0
11.2,113.6,master,finance,N,3,2,0
1.8,87.9,phd,marketing,N,1,3,1
6.0,100.4,bachelor,finance,N,4,4,1
,84.1,master,marketing,N,3,2,0
12.6,50.6,master,marketing,Y,2,4,0
10.7,41.7,high_school,engineering,N,4,3,1
14.9,55.9,master,marketing,N,4,1,1
2.1,82.7,master,marketing,Y,3,1,0
14.7,48.5,master,marketing,N,3,4,0
14.3,78.4,bachelor,finance,Y,1,3,1
9.2,62.5,master,engineering,N,1,4,1
3.9,105.8,high_school,sales,Y,2,3,1
13.2,112.2,master,marketing,Y,3,4,0
1.2,63.6,bachelor,hr,N,1,3,0
16.5,92.4,master,hr,N,1,1,0
13.1,88.4,high_school,sales,Y,2,1,0
15.0,70.2,master,marketing,N,2,4,1
2.5,117.1,high_school,finance,N,1,1,1
16.0,73.0,phd,marketing,Y,2,3,1
19.3,88.0,phd,finance,N,2,2,0
1.7,87.4,phd,finance,N,4,3,1
2.3,42.7,bachelor,sales,Y,1,3,0
9.6,45.2,phd,finance,N,2,3,1
11.3,45.5,high_school,sales,Y,3,2,0
11.5,43.1,phd,hr,N,1,1,0
0.1,110.8,phd,marketing,Y,1,2,1
0.5,56.7,master,hr,N,2,4,1
18.7,48.9,master,engineering,N,2,2,0
2.0,52.2,bachelor,sales,N,3,4,0
17.8,46.6,master,hr,N,4,2,0
1.7,48.8,phd,hr,N,2,1,1
15.1,113.7,master,finance,N,2,3,0
8.9,112.9,bachelor,marketing,N,4,4,0
,,phd,hr,N,3,4,0
4.2,78.8,master,marketing,N,3,1,0
10.5,56.5,master,hr,N,4,1,0
4.0,88.3,phd,hr,Y,1,2,0
17.6,48.6,bachelor,marketing,N,2,3,1
11.2,77.7,high_school,hr,N,4,4,0
18.9,57.3,phd,hr,Y,1,2,0
15.5,40.9,master,marketing,N,4,2,0
15.7,38.9,high_school,sales,N,3,2,0
11.6,100.0,phd,finance,N,4,2,0
13.9,116.7,high_school,sales,N,4,1,1
4.3,93.0,phd,finance,Y,2,4,1
11.4,108.5,high_school,sales,Y,3,2,0
8.3,82.7,phd,hr,N,4,3,0
2.8,32.1,master,marketing,Y,3,1,0
1.2,103.0,phd,engineering,Y,1,4,0
3.8,55.2,master,finance,N,4,4,0
17.4,120.0,high_school,hr,N,4,4,0
18.9,113.6,high_school,marketing,N,4,4,1
18.7,61.6,bachelor,sales,N,3,1,0
5.5,87.1,high_school,sales,N,1,4,1
14.3,58.5,phd,engineering,Y,3,3,0
5.9,93.2,bachelor,engineering,Y,1,1,0
15.7,81.8,phd,marketing,N,1,4,1
5.1,60.7,high_school,finance,N,2,1,0
16.2,107.1,master,engineering,N,1,2,0
19.2,52.3,phd,engineering,N,3,2,1
5.2,90.9,phd,hr,N,4,2,0
11.0,31.6,bachelor,hr,N,1,1,0
,62.0,bachelor,sales,N,1,3,1
3.9,76.9,high_school,finance,N,2,2,0
5.9,52.2,master,marketing,Y,4,3,0
,95.9,phd,marketing,N,1,2,0
13.7,,bachelor,marketing,Y,4,4,0
13.5,110.2,high_school,sales,N,2,3,0
0.8,38.6,phd,engineering,Y,4,4,1
14.7,106.1,bachelor,marketing,Y,3,3,1
17.2,63.9,master,sales,N,2,1,0
17.5,118.2,high_school,engineering,Y,2,2,0
1.4,35.4,high_school,hr,N,1,2,0
12.4,64.6,bachelor,sales,N,3,2,0
10.7,,high_school,engineering,N,3,3,0
2.0,44.1,master,engineering,Y,4,4,0
14.1,33.3,bachelor,marketing,N,1,2,0
12.4,89.7,master,hr,N,4,3,1
15.7,67.5,high_school,sales,Y,4,4,1
3.6,56.8,bachelor,hr,N,3,1,0
0.9,57.3,high_school,finance,N,3,1,0
1.1,98.7,phd,finance,N,1,3,0
19.5,39.9,phd,engineering,Y,4,4,0
0.5,31.2,bachelor,hr,N,3,2,1
7.0,105.4,phd,finance,N,3,2,0
10.0,74.7,high_school,sales,Y,4,2,0
18.9,40.1,high_school,finance,Y,2,2,0
1.1,47.3,bachelor,hr,N,2,2,0
11.9,74.5,high_school,engineering,N,2,3,0
18.5,57.7,master,hr,N,1,3,0
11.8,,bachelor,marketing,N,1,2,0
14.0,46.8,bachelor,finance,N,2,2,1
17.7,89.3,master,sales,N,1,4,0
9.8,31.7,bachelor,sales,Y,2,4,0
4.5,96.2,bachelor,finance,N,4,3,0
16.7,78.6,master,sales,N,3,4,1
7.5,89.0,phd,hr,N,2,1,0
16.1,31.4,master,marketing,Y,1,1,0
4.6,95.0,phd,sales,N,4,3,0
19.5,81.8,bachelor,marketing,Y,1,4,0
2.8,84.9,high_school,hr,N,2,3,0
11.3,68.6,high_school,engineering,N,3,4,1
3.0,65.8,high_school,engineering,N,1,2,0
19.6,36.4,master,hr,N,2,3,0
15.2,68.9,bachelor,finance,N,1,2,1
14.6,111.1,master,marketing,Y,4,2,0
16.9,113.1,phd,marketing,Y,2,1,1
6.4,,high_school,finance,N,4,3,0
15.3,107.2,high_school,marketing,Y,2,2,0
6.6,40.1,bachelor,engineering,N,2,2,1
2.3,34.3,bachelor,marketing,N,4,4,0
19.3,37.2,high_school,finance,N,3,2,0
7.1,109.2,high_school,finance,Y,2,1,0
19.1,72.6,high_school,marketing,Y,1,3,0
13.4,93.6,high_school,hr,N,1,2,0
0.6,49.5,bachelor,marketing,Y,2,4,1
5.5,102.9,high_school,engineering,N,1,4,1
7.3,58.4,high_school,engineering,Y,1,4,1
14.4,,high_school,marketing,N,3,1,1
6.8,52.6,high_school,engineering,Y,1,4,0
17.2,99.6,bachelor,hr,Y,3,1,0
0.6,77.6,master,hr,N,3,2,0
19.0,81.7,phd,sales,N,2,2,0
10.9,,high_school,sales,Y,1,3,0
17.5,100.0,phd,finance,N,4,4,0
8.7,,master,hr,N,1,1,0
19.0,70.4,high_school,marketing,Y,4,4,1
5.0,117.2,master,sales,N,2,1,0
,36.4,master,hr,N,3,1,0
1.1,80.1,bachelor,engineering,Y,3,2,0
6.4,41.8,high_school,sales,Y,2,2,0
13.0,90.8,high_school,engineering,Y,1,3,0
14.8,62.5,bachelor,engineering,Y,3,2,0
9.1,95.9,bachelor,marketing,Y,1,2,0
4.3,78.5,phd,engineering,N,2,1,1
17.2,,master,sales,N,1,1,0
16.6,40.5,high_school,sales,N,4,2,1
3.0,111.4,master,hr,Y,3,2,0
19.0,75.7,phd,hr,N,2,1,0
8.0,42.2,master,sales,N,3,3,0
7.8,74.0,bachelor,hr,N,1,4,0
10.8,59.7,master,sales,N,3,1,0
18.9,98.6,phd,hr,Y,4,2,0
11.2,53.0,phd,engineering,Y,4,2,1
17.8,57.1,high_school,engineering,N,1,4,0
19.5,56.6,phd,sales,Y,3,1,0
4.5,88.5,bachelor,sales,N,3,2,0
2.8,89.2,phd,sales,N,1,1,1
3.6,80.9,high_school,marketing,Y,2,2,0
3.2,51.1,phd,engineering,N,1,3,1
17.6,30.2,high_school,sales,N,2,3,1
15.1,35.2,high_school,hr,Y,2,2,0
6.6,80.2,phd,marketing,Y,1,2,1
8.2,80.6,bachelor,hr,N,1,4,1
15.1,108.3,high_school,sales,Y,2,2,0
9.2,76.6,high_school,sales,N,1,4,0
8.0,40.9,bachelor,marketing,N,4,4,0
14.8,54.5,phd,engineering,N,1,2,0
0.7,,phd,marketing,N,1,2,1
10.8,95.4,bachelor,hr,N,4,3,0
12.1,68.4,phd,marketing,Y,4,2,0
19.8,85.6,phd,finance,N,2,4,0
8.1,102.6,phd,hr,N,1,3,0
1.7,90.9,high_school,marketing,Y,2,4,0
10.5,110.2,master,engineering,Y,4,1,0
8.9,47.5,phd,finance,Y,4,1,0
13.3,79.0,phd,engineering,N,2,1,0
4.1,91.2,master,finance,N,1,1,1
8.1,31.5,master,sales,Y,3,1,0
12.8,42.2,master,marketing,N,2,1,0
11.7,77.4,phd,engineering,Y,4,1,0
0.3,40.1,master,hr,N,3,1,0
16.9,30.7,phd,hr,N,4,4,0
16.4,,high_school,engineering,Y,1,4,1
7.3,107.6,high_school,finance,Y,2,1,1
18.8,47.0,phd,finance,N,2,3,0
15.7,85.6,phd,hr,Y,4,3,1
10.5,57.7,high_school,finance,N,2,3,0
,86.3,bachelor,hr,N,2,1,0
12.9,108.0,high_school,hr,N,2,3,0
9.9,46.2,high_school,engineering,N,2,3,1
16.0,30.2,bachelor,marketing,N,4,3,0
11.0,44.6,high_school,hr,Y,3,2,0
3.9,67.3,phd,sales,Y,3,4,0
4.4,55.9,bachelor,marketing,N,1,4,1
19.7,104.9,master,sales,N,4,3,1
11.9,105.4,phd,marketing,Y,2,2,1
10.7,46.1,master,hr,N,1,4,1
1.1,59.5,master,finance,N,3,4,0
15.3,80.6,high_school,hr,N,3,3,0
17.3,44.9,master,marketing,N,1,2,0
3.0,84.5,high_school,sales,N,4,4,0
15.0,73.1,bachelor,sales,N,3,4,0
17.8,73.9,high_school,sales,N,4,1,0
18.6,86.2,phd,finance,N,1,1,0
9.9,55.9,phd,marketing,Y,2,3,1
