years_experience,salary,education_level,department,overtime,job_satisfaction,work_life_balance,attrition
10.6,31.4,high_school,engineering,Y,4,2,1
15.3,101.8,bachelor,marketing,N,3,1,1
17.2,,phd,engineering,N,1,3,1
10.4,48.5,bachelor,engineering,N,3,1,1
2.1,116.6,bachelor,finance,N,2,1,0
18.4,94.7,phd,marketing,Y,3,4,0
16.7,85.5,high_school,sales,Y,4,2,0
10.0,30.0,phd,sales,N,4,4,0
7.8,113.5,high_school,sales,N,2,4,1
16.4,81.3,high_school,engineering,N,2,4,0
12.3,64.8,high_school,hr,N,3,1,1
13.1,33.9,bachelor,sales,Y,3,1,0
16.4,72.0,high_school,hr,N,4,3,1
1.8,53.5,phd,engineering,N,2,1,0
17.9,63.2,bachelor,marketing,N,3,2,0
8.9,57.8,master,hr,N,1,1,0
3.9,89.4,phd,sales,Y,4,4,1
,116.3,bachelor,hr,Y,4,3,1
0.9,106.7,bachelor,finance,N,2,1,1
13.6,108.8,phd,marketing,N,3,4,1
6.4,77.6,bachelor,finance,Y,2,4,1
0.3,43.1,bachelor,engineering,Y,3,4,1
0.5,47.6,master,engineering,N,3,3,0
2.7,95.2,high_school,marketing,Y,4,1,0
12.4,72.0,bachelor,marketing,N,2,1,1
0.3,81.6,high_school,marketing,N,3,4,0
5.2,41.5,phd,marketing,N,1,3,0
9.2,81.7,master,finance,N,1,3,0
15.5,99.3,high_school,sales,N,3,3,0
12.2,118.4,phd,marketing,Y,2,3,1
7.8,90.6,high_school,sales,Y,3,2,0
18.1,39.6,high_school,marketing,Y,3,3,1
18.2,119.3,master,sales,N,3,3,0
17.9,73.8,high_school,finance,N,4,1,0
19.6,63.7,bachelor,sales,N,2,3,0
15.2,88.8,master,sales,Y,3,3,0
11.0,74.2,master,hr,N,3,3,1
9.1,36.6,phd,finance,N,2,1,0
8.7,78.4,master,hr,N,2,3,1
8.5,112.7,high_school,finance,N,4,2,0
5.0,59.2,master,hr,Y,4,3,0
4.6,107.7,master,sales,Y,2,4,1
11.6,50.8,bachelor,hr,N,1,3,0
,71.1,high_school,marketing,N,4,1,0
18.5,46.3,high_school,sales,Y,4,3,0
4.1,56.1,master,hr,N,3,3,0
16.9,40.1,phd,marketing,N,1,4,0
4.4,119.5,bachelor,hr,N,1,4,0
14.9,48.3,master,marketing,N,3,4,1
12.1,96.8,master,marketing,N,4,3,0
12.9,119.5,phd,finance,Y,3,3,0
5.7,60.1,bachelor,finance,N,1,4,0
5.9,108.0,bachelor,engineering,N,3,1,1
1.3,35.0,high_school,marketing,Y,4,1,0
14.7,97.9,high_school,hr,N,2,4,0
7.6,95.2,high_school,sales,N,3,3,1
12.8,67.3,bachelor,sales,Y,3,2,1
16.8,99.1,bachelor,engineering,Y,4,1,0
8.8,109.6,master,sales,N,3,2,0
2.8,73.3,master,engineering,N,1,1,1
0.7,46.8,phd,engineering,N,3,3,1
1.6,87.3,phd,sales,N,2,1,0
11.7,33.4,phd,engineering,N,2,4,1
13.3,33.8,master,finance,N,2,4,1
2.4,65.9,high_school,engineering,N,3,4,1
17.7,68.3,phd,finance,N,2,4,0
18.0,50.6,phd,engineering,Y,1,2,1
0.8,112.9,phd,hr,Y,1,4,1
13.6,113.0,phd,finance,N,3,1,0
2.7,85.6,high_school,engineering,N,2,2,0
18.8,61.9,phd,sales,Y,2,1,0
19.0,100.2,bachelor,hr,N,4,4,1
18.6,49.2,master,marketing,N,4,1,0
,72.7,phd,hr,N,2,3,1
12.9,34.5,master,hr,Y,3,4,0
19.7,72.1,bachelor,marketing,Y,3,2,0
16.0,69.8,master,engineering,N,4,3,1
13.1,104.0,phd,finance,N,2,4,0
6.4,42.7,bachelor,hr,N,4,4,1
2.8,97.0,high_school,hr,N,1,3,0
9.3,81.1,bachelor,sales,N,1,1,0
6.1,33.7,phd,sales,Y,1,2,0
14.2,,high_school,engineering,Y,4,1,0
15.0,57.6,phd,sales,Y,4,1,1
7.7,80.7,phd,marketing,Y,4,3,1
16.0,90.6,master,engineering,N,1,1,1
,55.2,phd,hr,Y,2,4,0
17.9,93.2,phd,sales,N,1,3,1
14.6,117.7,master,finance,Y,4,4,1
5.0,103.5,master,finance,Y,1,3,0
14.7,68.2,phd,sales,Y,1,1,0
13.5,44.3,high_school,finance,N,2,3,1
15.9,56.2,bachelor,marketing,N,3,1,0
13.2,44.5,phd,finance,Y,3,2,1
10.6,60.9,master,sales,Y,3,1,1
3.5,46.2,phd,hr,N,1,1,0
19.1,113.9,bachelor,sales,Y,2,2,0
19.6,113.7,master,hr,N,2,1,0
4.0,45.3,high_school,hr,N,3,2,0
19.6,92.5,phd,engineering,N,3,4,1
,73.5,bachelor,sales,N,4,3,1
10.9,,master,hr,N,1,2,1
10.7,64.4,master,sales,Y,4,3,0
6.5,51.2,bachelor,finance,N,3,4,0
7.7,55.5,high_school,finance,N,1,1,1
15.0,57.9,bachelor,marketing,Y,4,1,1
7.7,48.5,high_school,sales,Y,3,2,0
0.1,38.3,phd,engineering,Y,2,3,0
8.6,87.3,high_school,finance,N,2,3,0
6.1,41.8,phd,engineering,N,3,4,0
1.1,84.6,high_school,finance,N,4,1,0
1.1,85.8,bachelor,sales,Y,3,1,0
6.8,105.7,bachelor,marketing,Y,2,1,1
6.3,57.1,high_school,hr,Y,2,2,0
17.2,62.1,bachelor,finance,N,3,3,0
13.4,88.8,bachelor,marketing,N,1,3,0
14.9,78.3,bachelor,finance,N,2,2,0
2.4,115.8,bachelor,finance,N,1,4,0
12.1,50.5,phd,hr,N,1,3,0
12.6,77.6,high_school,sales,N,4,3,1
1.3,66.2,phd,engineering,N,3,2,1
9.5,84.0,high_school,finance,Y,1,4,1
12.0,35.3,master,finance,N,3,2,0
12.3,55.2,bachelor,marketing,N,2,4,1
2.3,70.6,phd,finance,Y,2,3,0
18.5,105.4,bachelor,sales,Y,3,3,0
7.7,81.2,master,marketing,Y,2,2,0
7.3,115.2,master,marketing,Y,2,1,0
13.8,75.2,bachelor,engineering,N,4,3,0
16.4,111.6,bachelor,hr,Y,1,4,1
14.5,114.0,high_school,hr,N,2,1,0
0.6,106.7,bachelor,sales,N,1,3,0
5.8,119.7,master,hr,N,1,2,0
13.0,57.4,bachelor,finance,Y,4,1,0
17.3,69.9,phd,sales,Y,2,3,0
17.0,94.7,high_school,marketing,N,4,2,1
5.8,50.3,high_school,marketing,N,2,2,1
17.9,86.5,bachelor,finance,N,4,3,0
10.7,80.0,bachelor,finance,N,1,4,1
10.5,58.2,phd,engineering,N,1,4,1
2.2,45.5,bachelor,sales,N,2,3,0
,97.7,master,marketing,N,3,2,1
20.0,54.0,high_school,engineering,N,2,3,0
7.1,73.9,phd,sales,N,2,2,1
5.2,55.9,master,hr,N,1,3,1
3.2,64.1,master,sales,Y,3,2,0
19.1,110.8,master,hr,N,4,4,0
10.7,,phd,finance,N,1,2,1
10.8,38.3,phd,hr,N,3,2,1
3.3,99.0,phd,engineering,Y,3,3,0
13.6,95.3,bachelor,finance,Y,3,4,0
13.6,83.8,phd,hr,N,2,1,0
9.3,101.7,master,hr,N,3,2,1
9.8,38.2,phd,finance,N,2,2,0
14.5,98.6,phd,finance,Y,4,2,0
11.7,58.3,phd,finance,N,4,1,0
16.8,36.0,bachelor,marketing,Y,3,3,1
16.4,59.1,master,engineering,N,3,2,0
4.0,41.1,high_school,sales,N,4,2,0
12.4,90.3,bachelor,hr,N,1,4,0
14.0,41.9,bachelor,marketing,Y,2,3,1
3.9,105.3,master,hr,N,4,3,0
18.2,68.6,high_school,hr,Y,3,3,0
12.4,93.9,master,engineering,N,4,1,0
14.2,110.7,bachelor,engineering,N,1,4,0
14.5,45.4,bachelor,finance,Y,2,3,1
11.2,109.8,bachelor,finance,N,3,1,0
10.3,113.2,phd,hr,N,1,2,0
13.8,47.3,bachelor,sales,N,3,3,0
1.6,56.7,high_school,engineering,N,4,1,1
,95.9,bachelor,hr,Y,3,2,1
5.9,32.1,bachelor,finance,N,3,1,1
2.3,95.0,high_school,engineering,Y,4,3,0
18.3,79.4,phd,engineering,N,3,4,1
2.8,59.6,phd,finance,N,2,3,0
13.9,112.1,bachelor,hr,N,2,2,1
10.6,37.1,high_school,sales,Y,2,4,1
8.9,86.8,bachelor,engineering,N,1,2,0
19.2,32.5,high_school,hr,N,4,2,0
7.0,32.7,bachelor,finance,Y,4,3,1
10.2,105.4,master,sales,N,4,3,0
3.8,68.3,high_school,engineering,N,1,4,0
13.4,106.4,bachelor,hr,N,1,4,1
9.7,39.5,master,marketing,N,1,1,0
5.6,98.2,bachelor,engineering,N,4,2,1
10.5,,high_school,hr,Y,2,1,0
16.3,77.1,high_school,marketing,N,3,1,1
16.7,55.6,master,engineering,N,3,2,0
13.8,50.0,bachelor,marketing,N,1,4,0
16.0,81.7,high_school,sales,N,1,4,0
9.2,73.6,bachelor,engineering,Y,4,2,1
17.8,84.9,bachelor,marketing,Y,2,2,0
18.0,76.6,bachelor,marketing,N,3,4,0
15.0,54.7,bachelor,engineering,Y,4,3,1
8.0,77.5,high_school,finance,N,3,3,0
13.3,37.2,bachelor,finance,Y,3,4,1
3.1,91.8,high_school,marketing,N,4,3,1
12.7,73.1,high_school,marketing,Y,2,2,0
19.4,82.2,phd,sales,N,1,1,0
5.4,109.5,master,hr,N,2,2,0
16.9,76.2,high_school,marketing,Y,2,4,0
8.3,63.5,master,finance,N,4,1,0
12.8,78.9,bachelor,hr,Y,2,3,1
9.6,,master,sales,N,1,2,0
11.4,104.7,bachelor,marketing,N,3,2,0
0.4,50.4,phd,finance,Y,4,4,1
5.2,68.9,phd,marketing,N,1,3,0
3.7,117.2,phd,sales,Y,1,1,0
11.4,114.3,high_school,marketing,N,3,2,0
4.8,59.2,high_school,finance,Y,4,2,0
18.3,88.0,bachelor,hr,Y,4,3,1
8.3,103.8,master,engineering,N,1,1,0
18.4,89.0,phd,sales,N,3,4,0
4.7,41.9,bachelor,engineering,N,4,4,0
18.1,41.7,bachelor,engineering,N,2,3,1
18.9,49.7,bachelor,hr,N,3,4,0
12.8,64.5,phd,marketing,N,2,1,0
3.1,119.7,phd,sales,Y,4,2,1
18.8,91.3,master,engineering,Y,2,2,0
11.2,32.1,phd,finance,N,3,3,0
17.5,54.3,bachelor,engineering,Y,2,4,0
4.4,113.8,master,engineering,Y,1,1,0
17.7,49.1,bachelor,marketing,N,2,3,0
4.6,60.1,bachelor,hr,Y,4,1,0
10.6,51.4,high_school,engineering,Y,1,2,1
4.4,73.1,bachelor,engineering,N,1,1,0
1.9,52.5,master,engineering,N,2,2,0
7.8,111.6,master,engineering,Y,2,3,0
3.3,42.4,phd,marketing,N,3,4,0
15.6,53.9,phd,hr,Y,1,1,1
1.4,99.1,master,hr,N,3,4,1
3.5,36.7,bachelor,sales,N,3,1,0
16.7,110.9,bachelor,sales,Y,2,2,1
1.0,42.7,high_school,engineering,N,2,3,0
,91.0,high_school,engineering,N,2,2,1
14.1,44.5,high_school,engineering,Y,3,2,0
2.5,45.4,phd,sales,N,4,4,0
5.8,80.0,master,finance,Y,2,1,0
12.9,80.6,master,sales,N,2,3,0
11.2,107.3,master,engineering,N,2,3,1
15.0,37.7,master,hr,N,3,2,0
2.8,66.5,high_school,marketing,Y,3,3,0
13.5,77.0,bachelor,finance,Y,1,1,0
1.3,66.1,bachelor,hr,Y,4,1,1
,35.7,high_school,marketing,N,3,2,1
4.2,67.8,phd,sales,N,4,2,1
2.7,76.8,phd,finance,N,2,1,0
7.6,52.7,bachelor,marketing,N,1,2,0
5.1,73.0,high_school,finance,N,2,2,1
14.2,100.2,high_school,engineering,N,4,1,1
17.7,105.0,high_school,sales,N,1,1,1
8.3,105.1,master,hr,N,1,2,1
17.6,87.6,bachelor,sales,N,3,3,0
10.2,38.6,phd,hr,N,3,4,0
8.2,61.1,phd,finance,Y,4,3,0
11.7,118.1,high_school,sales,Y,1,2,0
2.9,118.2,bachelor,finance,N,1,1,1
7.7,96.2,phd,finance,N,2,3,1
2.8,51.4,phd,marketing,N,3,4,0
9.9,92.2,phd,marketing,N,3,2,0
12.2,52.2,master,hr,N,4,3,0
,90.9,phd,marketing,N,4,4,0
5.4,49.1,master,finance,N,1,1,0
0.7,109.8,master,hr,Y,3,1,1
5.0,30.1,master,sales,Y,2,3,0
18.8,110.6,bachelor,hr,Y,1,1,1
11.0,38.4,master,finance,N,4,2,0
4.9,84.9,phd,hr,Y,4,2,0
12.2,48.9,phd,hr,N,4,4,0
11.1,54.4,master,sales,N,3,3,1
12.5,99.6,master,finance,N,1,4,0
0.2,42.9,phd,sales,N,4,4,0
15.3,48.1,master,finance,Y,1,1,1
4.9,58.6,master,sales,N,3,3,0
1.5,49.1,phd,marketing,N,3,4,0
,111.4,phd,engineering,Y,2,2,0
12.1,92.7,master,engineering,N,1,2,0
9.9,80.4,phd,hr,Y,4,3,1
9.6,69.9,bachelor,sales,N,2,1,0
3.5,41.6,high_school,hr,N,4,4,0
11.2,60.0,phd,hr,Y,4,1,0
10.5,98.0,high_school,marketing,Y,1,2,0
11.7,88.1,bachelor,sales,N,2,4,0
19.5,,master,marketing,N,2,2,0
2.2,61.1,bachelor,hr,N,3,3,1
10.7,89.9,master,finance,Y,1,4,1
1.2,80.7,master,sales,N,2,2,1
16.5,102.2,phd,hr,N,1,4,1
11.9,100.9,phd,marketing,N,4,2,0
16.6,83.6,phd,engineering,Y,3,4,0
6.3,,phd,engineering,N,2,4,0
1.9,91.6,bachelor,hr,N,4,2,0
,38.0,master,hr,Y,3,2,0
2.9,91.6,bachelor,engineering,N,3,1,0
8.0,83.3,phd,engineering,Y,3,3,0
6.4,82.1,phd,marketing,N,3,2,0
11.3,34.7,high_school,hr,N,1,1,1
,32.9,master,finance,N,2,1,0
19.0,111.2,master,finance,Y,4,4,1
5.7,60.7,bachelor,hr,N,4,3,0
16.4,81.1,high_school,finance,Y,2,4,0
15.8,32.7,master,engineering,Y,4,4,0
15.1,32.4,master,finance,N,3,1,0
10.4,80.0,high_school,marketing,Y,1,2,1
0.6,64.0,master,hr,N,1,4,0
14.5,59.1,phd,engineering,N,3,4,1
4.5,58.1,master,hr,Y,1,3,1
15.6,97.0,high_school,engineering,Y,1,3,1
15.4,61.5,phd,marketing,N,1,3,1
10.0,59.4,bachelor,marketing,N,2,3,0
0.3,36.6,high_school,engineering,Y,2,2,0
15.8,110.7,master,sales,Y,1,3,0
14.2,,high_school,marketing,Y,3,4,0
4.0,117.7,phd,hr,Y,4,4,1
10.3,46.8,high_school,marketing,Y,4,3,0
7.0,91.6,high_school,finance,N,2,2,1
5.3,100.6,master,sales,N,2,2,1
2.4,,high_school,marketing,N,4,2,0
19.5,90.9,bachelor,hr,N,4,1,1
4.9,95.1,high_school,finance,N,4,2,0
9.8,99.3,high_school,sales,Y,3,1,0
7.9,119.3,phd,engineering,N,1,1,0
12.1,,high_school,sales,N,2,4,1
1.1,74.8,master,marketing,Y,3,2,0
16.6,79.1,high_school,sales,N,1,3,0
15.1,54.2,high_school,hr,N,4,3,0
7.2,115.9,bachelor,sales,N,3,3,1
,76.7,bachelor,sales,Y,2,2,0
8.9,58.8,phd,engineering,N,3,4,0
8.5,78.4,master,finance,N,3,4,0
7.9,92.2,bachelor,marketing,N,1,3,0
18.9,82.0,phd,hr,N,4,3,1
16.5,86.3,high_school,hr,N,4,3,0
12.6,39.5,bachelor,sales,N,3,3,1
13.8,40.9,master,marketing,N,4,3,0
13.5,72.2,bachelor,marketing,N,4,4,0
14.6,67.7,master,sales,N,2,3,0
16.6,44.4,phd,engineering,Y,4,3,0
6.1,56.3,phd,marketing,Y,3,1,1
18.7,32.6,phd,engineering,N,1,1,0
6.4,57.6,bachelor,sales,N,3,3,0
0.0,37.8,bachelor,finance,N,3,1,0
19.5,39.4,phd,marketing,N,4,3,0
13.9,101.4,high_school,sales,N,1,1,0
10.0,36.6,phd,finance,N,1,3,0
18.1,96.7,high_school,finance,Y,4,1,0
9.9,47.2,master,sales,Y,2,1,0
,83.2,bachelor,finance,N,1,3,0
0.6,116.5,high_school,finance,Y,4,3,0
19.5,119.4,phd,finance,Y,3,4,0
14.3,101.0,high_school,marketing,N,4,2,0
16.7,101.6,phd,marketing,N,1,1,0
,92.2,master,finance,Y,2,4,0
2.1,119.5,master,engineering,N,4,1,1
14.2,59.2,phd,engineering,N,3,2,0
9.4,107.7,high_school,engineering,N,3,2,0
15.4,118.4,bachelor,hr,Y,3,2,1
19.1,37.3,high_school,engineering,N,2,2,1
7.3,55.9,bachelor,sales,N,1,3,0
8.9,77.9,master,sales,N,1,3,0
17.2,92.2,phd,sales,N,2,1,0
15.6,84.6,master,sales,N,2,4,0
7.7,104.5,phd,engineering,N,1,4,1
3.5,100.5,master,hr,Y,4,3,0
4.2,77.8,phd,hr,Y,1,2,0
6.7,113.5,master,marketing,Y,1,3,0
19.7,49.6,phd,sales,N,1,4,0
4.9,84.5,high_school,finance,N,3,2,0
9.8,103.3,master,sales,N,3,2,0
13.6,62.0,master,sales,N,1,3,0
15.0,113.7,high_school,marketing,N,1,1,1
3.4,98.8,high_school,hr,N,1,4,1
7.9,115.7,high_school,engineering,N,3,4,1
4.9,58.3,high_school,finance,N,3,2,0
14.0,73.5,phd,finance,N,4,3,0
5.9,106.1,master,marketing,Y,4,4,0
9.7,111.8,phd,finance,N,2,3,0
10.6,102.3,master,sales,Y,4,1,0
2.8,57.3,high_school,hr,N,1,2,0
17.4,39.4,master,finance,N,3,4,0
6.0,34.9,phd,engineering,Y,2,4,1
3.0,37.4,master,engineering,N,3,4,1
5.5,57.6,phd,sales,Y,3,4,0
4.3,48.6,master,engineering,N,1,2,0
,73.1,bachelor,sales,N,4,1,0
14.5,77.6,high_school,marketing,Y,2,3,0
4.7,39.4,high_school,engineering,Y,4,1,0
6.2,78.9,high_school,hr,N,4,2,0
,93.6,bachelor,marketing,Y,3,4,1
18.3,91.9,phd,engineering,N,4,4,0
16.6,32.1,master,sales,N,2,1,0
0.6,37.7,phd,engineering,N,3,4,0
15.8,60.4,master,hr,N,2,4,1
7.2,70.9,master,finance,Y,2,1,0
16.7,69.0,master,sales,N,3,2,0
13.0,95.4,high_school,engineering,N,4,1,1
2.3,36.5,phd,hr,N,2,4,1
1.0,61.9,high_school,marketing,Y,3,2,0
13.9,35.4,high_school,finance,N,3,3,0
2.2,115.8,bachelor,finance,Y,4,1,0
9.1,113.9,phd,sales,N,3,4,0
12.1,34.9,master,finance,Y,2,4,0
15.7,106.4,phd,marketing,Y,3,3,0
6.9,83.2,phd,hr,Y,4,2,0
9.1,68.6,phd,sales,N,1,2,0
2.3,49.8,phd,marketing,N,4,2,0
5.2,45.5,bachelor,hr,Y,1,4,0
14.0,49.1,master,marketing,N,2,1,0
4.1,73.1,bachelor,engineering,N,2,2,0
7.9,103.5,master,marketing,N,4,2,0
1.8,76.2,bachelor,sales,N,2,3,0
,73.3,high_school,finance,Y,4,1,1
14.9,91.6,bachelor,marketing,N,4,1,0
1.2,60.4,master,engineering,N,1,4,1
1.5,89.8,high_school,sales,N,4,1,0
7.9,112.1,high_school,engineering,N,4,1,0
11.3,34.8,high_school,hr,N,4,4,1
,110.1,high_school,sales,N,3,4,0
1.6,110.3,master,marketing,Y,1,3,0
18.7,108.3,phd,finance,N,4,1,1
19.4,107.7,phd,finance,Y,4,1,1
17.8,83.0,phd,sales,N,1,2,0
13.5,105.5,high_school,marketing,N,3,4,1
19.4,103.6,bachelor,engineering,Y,1,1,0
0.8,101.0,high_school,finance,N,4,1,1
18.2,54.1,master,hr,N,3,1,1
2.2,53.3,high_school,marketing,N,1,3,1
1.0,58.3,phd,sales,Y,1,3,0
19.8,51.5,high_school,sales,Y,4,3,0
4.3,111.0,high_school,engineering,Y,3,1,0
13.2,97.8,high_school,sales,N,1,3,0
13.8,82.5,phd,sales,N,4,4,0
1.2,68.5,high_school,finance,Y,1,3,1
3.8,43.7,high_school,sales,N,1,2,0
19.8,,phd,sales,Y,2,4,0
3.6,102.2,high_school,finance,N,2,1,0
17.1,115.6,high_school,sales,N,4,4,1
17.3,42.0,high_school,finance,N,2,3,1
16.9,72.4,bachelor,finance,Y,3,2,0
12.5,64.7,high_school,hr,Y,4,1,0
6.9,70.3,high_school,engineering,Y,2,1,0
0.2,114.4,phd,hr,N,2,1,0
15.1,87.9,bachelor,engineering,N,2,3,0
4.0,43.8,phd,marketing,N,1,4,1
17.1,101.5,phd,engineering,Y,4,3,0
9.7,85.3,master,finance,N,3,3,0
6.3,98.6,high_school,marketing,Y,2,4,0
11.5,61.7,master,hr,Y,4,1,0
14.9,78.9,phd,engineering,N,2,1,1
10.1,44.3,master,sales,N,3,1,1
9.9,84.2,phd,hr,Y,4,4,0
,48.0,master,marketing,Y,1,2,1
11.3,60.9,phd,finance,Y,3,1,1
2.5,52.6,bachelor,marketing,N,3,4,1
10.8,80.7,master,finance,N,1,2,0
5.4,79.8,master,marketing,N,3,3,0
10.3,61.2,high_school,finance,N,2,4,1
0.7,42.8,phd,engineering,N,4,4,1
16.0,64.1,bachelor,sales,Y,2,3,0
15.1,116.6,high_school,finance,Y,1,3,0
18.1,40.6,phd,sales,N,2,2,0
10.6,76.8,phd,sales,Y,2,1,0
9.9,89.7,bachelor,marketing,N,1,1,0
2.3,94.8,high_school,hr,Y,3,1,0
13.7,,master,finance,N,1,1,0
11.7,84.0,master,engineering,N,2,1,1
11.6,85.3,phd,marketing,Y,4,3,0
12.1,108.1,phd,finance,Y,2,4,0
4.2,60.5,high_school,marketing,N,4,3,0
3.9,119.5,high_school,marketing,N,4,3,0
5.5,79.3,high_school,engineering,Y,4,3,0
2.9,96.8,phd,engineering,N,4,4,1
2.3,113.6,high_school,marketing,Y,4,1,0
15.7,117.2,bachelor,finance,N,1,2,1
6.7,72.8,bachelor,engineering,N,3,4,0
16.8,107.6,master,engineering,N,3,1,0
15.1,76.0,master,hr,Y,3,2,0
16.8,101.8,bachelor,finance,N,3,4,1
16.8,47.7,phd,sales,N,4,1,0
3.2,92.7,high_school,marketing,Y,3,1,0
17.1,78.2,bachelor,engineering,N,2,3,0
15.3,92.8,master,finance,N,1,3,1
19.8,108.9,bachelor,hr,Y,1,4,0
13.1,51.0,high_school,finance,N,4,1,0
5.2,42.6,phd,engineering,Y,4,3,0
17.9,86.2,high_school,hr,N,3,4,0
9.6,43.5,phd,hr,N,3,2,0
7.1,112.7,phd,sales,N,4,1,0
1.4,39.2,high_school,sales,Y,3,3,1
13.2,,master,sales,Y,3,2,0
8.4,41.6,bachelor,hr,N,1,1,0
13.9,46.3,master,hr,Y,1,1,0
15.8,61.0,master,hr,N,2,2,1
2.9,119.5,master,hr,N,2,2,0
,63.3,bachelor,finance,N,4,1,1
,50.2,phd,hr,N,1,1,0
11.0,33.1,high_school,finance,N,3,1,0
0.4,95.3,high_school,engineering,Y,4,4,1
16.1,88.4,master,finance,N,4,1,0
3.7,31.4,master,engineering,Y,2,2,0
10.0,55.7,bachelor,engineering,N,4,1,0
1.0,48.6,phd,hr,N,1,3,1
4.4,99.9,master,hr,Y,1,1,1
16.5,68.2,bachelor,hr,Y,3,1,1
2.9,106.2,high_school,hr,Y,2,1,1
0.7,99.1,bachelor,hr,Y,4,4,0
6.4,38.8,phd,sales,N,3,3,0
10.3,78.4,high_school,hr,Y,1,1,1
8.8,36.3,master,engineering,N,3,2,1
19.8,,master,sales,N,4,2,0
17.0,46.1,master,sales,N,4,4,1
9.8,45.0,phd,hr,N,2,3,0
9.6,70.1,phd,finance,N,2,4,0
13.1,64.6,high_school,sales,N,4,2,1
13.0,53.8,master,finance,N,3,2,1
0.8,72.3,high_school,hr,N,2,1,1
18.4,115.9,high_school,marketing,N,2,4,1
10.6,,phd,marketing,N,1,4,1
11.7,,master,finance,Y,2,2,0
18.8,39.7,phd,finance,N,2,1,1
8.3,56.1,high_school,finance,N,4,2,1
5.3,71.3,bachelor,engineering,N,2,2,1
6.8,66.0,master,sales,Y,2,4,0
12.1,77.7,bachelor,finance,N,1,4,1
4.6,34.7,high_school,engineering,Y,3,3,0
5.8,106.8,phd,engineering,N,4,1,0
6.4,96.9,bachelor,hr,N,4,3,0
8.6,95.7,phd,engineering,N,3,4,0
12.3,89.0,phd,hr,Y,1,3,0
8.8,59.5,phd,hr,N,1,4,1
10.1,43.6,high_school,sales,N,3,2,0
1.4,48.8,bachelor,sales,N,1,4,0
6.1,78.3,bachelor,sales,N,1,1,0
3.3,39.9,phd,hr,N,3,3,1
18.2,51.5,master,hr,N,1,3,0
2.7,33.8,high_school,finance,N,3,4,1
1.4,62.6,phd,sales,N,3,2,0
14.2,44.0,high_school,hr,N,3,2,0
0.2,109.4,phd,engineering,Y,3,2,0
11.9,40.0,phd,sales,N,1,3,0
8.5,76.8,master,sales,N,2,4,0
18.6,103.4,phd,finance,N,2,3,0
15.0,64.5,phd,sales,N,1,4,1
9.5,52.8,high_school,marketing,N,3,4,0
16.2,115.9,phd,hr,N,3,3,0
8.5,59.4,bachelor,marketing,N,3,3,1
7.7,76.1,bachelor,finance,N,4,1,0
19.2,113.5,bachelor,engineering,N,1,1,1
11.6,117.4,high_school,hr,Y,2,2,0
18.0,58.3,high_school,marketing,N,2,4,0
15.9,39.8,master,finance,Y,3,3,0
2.1,,bachelor,engineering,Y,3,4,0
2.1,114.1,phd,sales,N,3,1,0
